name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Headshots (4r Da Locals),Headshots (4r Da Locals),Isaiah Rashad,2021-06-18,193208,59,0.0308,0.894,0.661,3,0.615,0.00921,0.309,-6.269,0.0826,1,120.0,4
Charmander,Charmander,Aminé,2021-10-25,131883,59,0.542,0.708,0.596,10,0.552,0.00377,0.175,-7.101,0.0714,1,87.195,4
Wraith,Wraith,Chance the Rapper,2022-05-17,147692,64,0.162,0.957,0.687,7,0.528,1.3e-06,0.615,-6.025,0.128,0,130.001,4
Good Friday,Good Friday,Kota the Friend,2022-04-15,221624,57,0.565,0.827,0.147,8,0.692,0.0,0.102,-6.993,0.199,1,99.984,4
Somethin Wrong In Heaven,Somethin Wrong In Heaven,Marlon Craft,2022-05-10,165939,49,0.0409,0.674,0.492,1,0.734,0.0,0.166,-7.204,0.351,1,93.242,4
Off The Drugs,Off The Drugs,TOBi,2021-07-14,177273,49,0.136,0.636,0.52,3,0.561,0.0,0.111,-7.727,0.423,1,102.726,5
Surround Sound (feat. 21 Savage & Baby Tate),Surround Sound (feat. 21 Savage & Baby Tate),JID,2022-01-14,229938,75,0.156,0.57,0.517,5,0.573,0.0,0.256,-6.935,0.476,1,76.006,4
Wat U Sed (feat. Iamdoechii & Kal Banx),Wat U Sed (feat. Iamdoechii & Kal Banx),Isaiah Rashad,2021-07-23,176682,50,0.0807,0.84,0.525,11,0.641,0.0515,0.322,-6.814,0.313,1,163.028,4
Channel Zero,Channel Zero,Raury,2022-02-11,230170,42,0.0319,0.592,0.703,4,0.841,0.176,0.081,-9.842,0.0655,0,119.733,4
Get Paid,Get Paid,Whookilledkenny,2022-04-15,151698,44,0.0665,0.888,0.616,5,0.633,3.43e-05,0.0824,-5.784,0.112,0,105.967,4
Outside,Outside,Kota the Friend,2021-04-21,203793,62,0.342,0.86,0.6,1,0.749,0.0,0.446,-6.556,0.0905,0,99.989,4
Wimbledon,Wimbledon,Free Party,2022-05-20,142409,41,0.0859,0.87,0.44,1,0.435,0.0,0.0934,-12.141,0.372,1,148.885,4
Medicine,Medicine,CJ Fly,2021-04-20,145466,34,0.379,0.833,0.352,9,0.651,0.000646,0.112,-4.399,0.12,1,136.984,4
Psychedelic Views (feat. IDK),Psychedelic Views (feat. IDK),Sad Night Dynamite,2021-08-18,280000,53,0.127,0.82,0.479,1,0.736,0.0,0.408,-7.411,0.0542,1,119.997,4
A Bar About a Bar,A Bar About a Bar,Chance the Rapper,2022-05-27,65480,0,0.172,0.561,0.795,9,0.574,0.0,0.105,-8.315,0.377,0,80.107,4
"Come On, Let's Go (with Nigo)",I Know NIGO!,Nigo,2022-03-25,199500,74,0.136,0.732,0.488,11,0.734,0.000901,0.165,-7.968,0.0974,1,145.722,4
Black Tame,Don't Go Tellin' Your Momma,Topaz Jones,2021-04-23,252373,47,0.314,0.627,0.637,11,0.81,0.0,0.546,-4.971,0.284,1,100.136,4
LL Cool J,Shape Up,Leikeli47,2022-05-13,213840,41,0.168,0.803,0.504,1,0.456,9.15e-06,0.28,-7.629,0.45,1,94.812,4
Legal Sins,Legal Sins,Kemba,2022-02-22,210125,51,0.0735,0.741,0.263,2,0.664,0.0,0.378,-5.167,0.0671,1,119.984,4
Ghetto 24 (feat. Tinashe),Superghetto,Buddy,2022-03-25,149342,45,0.725,0.766,0.641,7,0.568,1.29e-06,0.109,-8.414,0.0973,1,89.944,4
AMERICAN HORROR STORY,AMERICAN HORROR STORY,EARTHGANG,2021-12-08,309570,26,0.011,0.803,0.699,6,0.625,0.0,0.117,-6.287,0.309,1,149.953,4
Still (feat. 6LACK and Smino),Few Good Things,Saba,2022-02-04,225546,56,0.386,0.487,0.427,1,0.63,0.000133,0.464,-9.942,0.555,1,76.349,4
COUNT ON ME,COUNT ON ME,BROCKHAMPTON,2021-04-01,155200,49,0.0391,0.782,0.522,0,0.497,0.0,0.209,-5.415,0.286,1,77.488,4
Bird Calling,Bird Calling,Mark Ronson,2022-05-20,183826,54,0.144,0.532,0.44,11,0.581,4.67e-05,0.163,-10.021,0.424,0,75.51,1
Rollin' Wit The Homies (feat. Buddy),Rollin' Wit The Homies (feat. Buddy),Kent Jamz,2022-04-28,243773,46,0.0811,0.846,0.645,10,0.817,1.05e-05,0.127,-7.206,0.101,0,87.469,4
4K,4K,Duckwrth,2021-07-28,187619,42,0.025,0.789,0.401,4,0.628,5.12e-05,0.634,-5.447,0.0466,0,126.064,4
