name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
wish that i could,Forest in the City,UMI,2022-05-26,207880,3,0.253,0.786,0.375,0,0.536,0.000172,0.183,-7.955,0.0526,0,119.043,4
Cutlass (ft. ScHoolboy Q),Towards The Sun,AUGUST 08,2022-05-20,200394,46,0.446,0.743,0.664,10,0.756,0.0,0.113,-5.593,0.27,0,84.488,4
Take Me Where Your Heart Is,Take Me Where Your Heart Is,Q,2020-10-09,192647,0,0.00586,0.858,0.419,10,0.426,0.761,0.0986,-8.879,0.0402,0,89.981,4
Body,Body,070 Shake,2022-05-20,210475,56,0.206,0.465,0.311,10,0.493,1.25e-06,0.0687,-7.172,0.0286,0,79.955,4
Rearrange,Casper Sage,Casper Sage,2022-05-13,266772,41,0.174,0.276,0.105,10,0.43,5.26e-06,0.183,-10.506,0.0357,1,160.423,4
Selfish Soul,Selfish Soul,Sudan Archives,2022-05-18,142666,49,0.0206,0.677,0.246,7,0.551,0.269,0.088,-7.963,0.0293,1,106.954,4
Feels Like,Candydrip,Lucky Daye,2022-03-10,209493,62,0.0418,0.838,0.83,0,0.629,0.0104,0.1,-4.48,0.0776,1,109.031,4
Xtasy,Xtasy,Ravyn Lenae,2022-05-17,178200,49,0.205,0.615,0.717,5,0.759,0.000226,0.101,-8.334,0.0823,1,107.05,4
we're not kids anymore,emotionally unavailable,Cat Burns,2022-05-20,182958,59,0.912,0.816,0.323,6,0.213,4.02e-06,0.0916,-12.952,0.0529,0,121.916,4
Please Do Not Lean (feat. BADBADNOTGOOD),Please Do Not Lean,Daniel Caesar,2022-04-22,240937,71,0.241,0.67,0.46,1,0.41,8.55e-06,0.167,-13.444,0.0381,1,127.972,4
The Dress,Absolutely,Dijon,2021-11-05,184767,66,0.266,0.747,0.785,8,0.531,1.8e-06,0.192,-5.99,0.0477,1,88.009,4
A Moment Of Mystery (feat. Toro y Moi),A Moment Of Mystery (feat. Toro y Moi),FKJ,2022-05-19,205760,49,0.83,0.481,0.102,0,0.328,0.0566,0.115,-13.428,0.0337,1,113.547,4
COMPLEX OF KILLING A MAN,COMPLEX OF KILLING A MAN,BLK ODYSSY,2022-05-25,191024,21,0.289,0.453,0.561,8,0.593,0.00513,0.247,-7.901,0.382,0,165.985,4
gin + juice,gin + juice,Mysie,2022-05-11,165920,39,0.0128,0.706,0.862,3,0.534,0.263,0.135,-9.41,0.0303,0,130.003,4
Awake (with Mahalia),Awake,Chiiild,2021-04-02,228626,0,0.315,0.504,0.665,5,0.579,0.0542,0.11,-7.418,0.0423,0,83.973,4
Communion in My Cup (feat. The Ton3s),Red Balloon,Tank and The Bangas,2022-05-13,208320,48,0.505,0.697,0.591,9,0.513,0.000553,0.147,-7.979,0.0963,0,129.744,3
X-Rated (feat. Benny The Butcher),X-Rated (feat. Benny The Butcher),Leon Thomas,2022-05-20,231529,47,0.0778,0.682,0.389,10,0.598,0.00387,0.165,-5.567,0.0941,0,169.868,4
Tell Me,HARMINE,The Hics,2022-05-06,285203,44,0.563,0.724,0.22,11,0.344,7.05e-06,0.0905,-12.069,0.0658,0,87.543,4
Tell Me Why,Tell Me Why,Full Crate,2021-04-28,188200,46,0.112,0.615,0.319,0,0.568,0.0107,0.121,-7.739,0.0989,1,169.395,4
Coastin’,Coastin’,Victoria Monét,2021-08-05,175319,64,0.0264,0.807,0.748,8,0.481,1.28e-06,0.112,-7.362,0.0713,0,91.005,4
