name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Diamonds,Diamonds,Catching Flies,2022-03-22,124451,51,0.959,0.384,0.185,11,0.0752,0.904,0.11,-16.034,0.0418,1,70.852,4
NO SKIN,NO SKIN,Mild Minds,2021-07-07,278124,49,0.332,0.429,0.102,10,0.669,0.824,0.107,-7.488,0.0438,0,119.891,4
Parallel 6,Parallel,Four Tet,2020-12-25,306970,53,0.66,0.711,0.646,4,0.635,0.96,0.194,-13.168,0.0537,0,124.034,4
I Know,OnlyL,TSHA,2021-08-27,288038,42,0.103,0.687,0.174,11,0.803,0.869,0.158,-5.873,0.0322,0,115.0,4
By Your Side,By Your Side,Sofia Kourtesis,2021-02-23,367362,53,0.0237,0.887,0.641,5,0.823,0.731,0.593,-7.57,0.0462,0,121.993,4
Gated Area,All Inclusive,Pool Boy,2021-09-10,228897,42,0.492,0.661,0.307,8,0.331,0.679,0.108,-12.368,0.0393,0,84.999,4
Movement 6,Promises,Floating Points,2021-03-26,530894,0,0.805,0.115,0.0725,0,0.257,0.819,0.184,-14.611,0.0349,0,93.784,4
GLY,GLY,Catching Flies,2021-04-21,220623,57,0.25,0.669,0.394,5,0.563,0.917,0.142,-10.437,0.0357,0,119.974,4
Keep Shimmering,Please Keep Shimmering,Tom VR,2021-09-22,263842,47,0.196,0.616,0.0513,1,0.648,0.755,0.0903,-9.085,0.12,0,80.99,4
Couch Party,Home / Couch Party,afternoon bike ride,2021-02-05,187663,0,0.608,0.678,0.192,0,0.34,0.00492,0.298,-11.47,0.0517,1,87.975,4
Cabaraú,Cabaraú,Pandit Pam Pam,2022-01-14,392107,36,0.918,0.565,0.584,9,0.465,0.446,0.114,-12.059,0.0337,0,105.152,4
Minority,STUDY: Buttercream Bookworm,Letsko,2022-01-14,198906,38,0.918,0.726,0.0778,2,0.263,0.897,0.189,-16.076,0.0498,1,125.981,4
No Motivation,No Motivation,Flawed Mangoes,2020-11-13,255512,43,0.232,0.552,0.155,11,0.646,0.559,0.0885,-4.802,0.0646,1,77.643,4
Inkeri,Oasis Sky,Tor,2021-04-30,202991,43,0.0889,0.659,0.0795,11,0.73,0.857,0.355,-10.74,0.0368,0,99.987,4
Translation - Edit,Translation - Edit,Teen Daze,2021-11-22,416093,10,0.0517,0.725,0.217,11,0.708,0.00759,0.0847,-8.468,0.121,0,120.008,4
Closed for Renovations,Closed for Renovations,Pool Boy,2021-08-20,163978,42,0.753,0.667,0.677,3,0.437,0.94,0.891,-16.354,0.0707,0,99.978,4
Faisal (London Bridge Station),Actual Life 2 Piano EP (February 2 - October 15 2021),Fred again..,2022-04-27,309000,50,0.958,0.423,0.193,0,0.389,0.894,0.156,-16.597,0.0424,1,184.005,4
Cup of Joe,Cup of Joe,Hermanito,2021-06-09,226092,39,0.241,0.317,0.063,11,0.604,0.83,0.104,-8.391,0.0941,0,192.945,4
Music For Psychedelic Therapy - Excerpt,Music For Psychedelic Therapy (Excerpt),Jon Hopkins,2021-10-14,427299,43,0.348,0.0611,0.0765,5,0.331,0.927,0.11,-15.52,0.0394,1,54.797,4
Falling Apart,Leaving Laurel,Leaving Laurel,2021-08-20,258827,44,0.0574,0.523,0.186,9,0.757,0.901,0.0795,-8.729,0.0289,0,114.997,4
Glacial Lake,Glacial Lake,Teen Daze,2021-01-29,224426,42,0.919,0.137,0.0389,3,0.334,0.964,0.359,-16.647,0.0394,1,88.994,4
Tangerine Sour,Tangerine Sour,Emancipator,2020-11-13,253044,0,0.557,0.645,0.477,0,0.574,0.855,0.0977,-8.96,0.0268,0,93.989,4
Transcend,Reflections,TWO LANES,2021-06-18,282812,45,0.6,0.505,0.162,2,0.547,0.847,0.0863,-16.06,0.0418,0,180.058,4
All You Need Is Time,All You Need Is Time,AK,2021-02-19,277714,41,0.794,0.697,0.123,4,0.361,0.927,0.112,-11.795,0.0363,0,140.002,4
Signal - Jean-Michel Blais Piano Version,Juvenile (Remixed),CRi,2021-03-12,269873,0,0.993,0.405,0.0783,11,0.027,0.91,0.0862,-26.8,0.0396,0,125.276,4
[Time] Place,"Golden Hours, Pt. 1",Neighborhood Libraries,2020-10-30,427200,41,0.874,0.242,0.0338,7,0.15,0.935,0.082,-21.652,0.0318,0,74.526,3
Runner,Runner,Sol Rising,2021-04-06,267000,39,0.53,0.648,0.18,2,0.947,0.922,0.277,-8.95,0.0437,0,119.967,4
Half Awake,Half Awake,Joey Pecoraro,2020-10-23,198389,41,0.635,0.611,0.372,9,0.623,0.833,0.103,-8.448,0.0312,0,88.009,4
FLOWERS OF THE FLOATING WORLD: Winter Jasmine~冬,FLOWERS OF THE FLOATING WORLD: Winter Jasmine~冬,trog'low,2021-12-21,152727,37,0.837,0.588,0.347,2,0.25,0.879,0.933,-9.651,0.198,1,79.72,1
When I Look Into Your Eyes,When I Look Into Your Eyes,Liam Mour,2021-01-15,252003,42,0.446,0.115,0.0715,7,0.165,0.765,0.0772,-10.807,0.0369,1,175.195,3
Knows No End,Knows No End,BAILE,2021-09-10,336000,33,0.0937,0.703,0.322,4,0.642,0.841,0.721,-8.167,0.0424,0,119.994,4
Karst - Vegyn Remix,Karst (Vegyn Remix),E.VAX,2022-03-11,235346,41,0.726,0.681,0.289,11,0.52,0.71,0.141,-8.827,0.0599,0,79.564,4
Sit Around The Fire,Sit Around The Fire,Jon Hopkins,2021-09-02,502705,44,0.92,0.219,0.157,8,0.231,0.793,0.114,-24.187,0.0672,1,62.744,3
September Sun,Gratitude,Sol Rising,2021-06-15,209400,43,0.853,0.216,0.0513,4,0.453,0.767,0.0996,-10.615,0.0303,1,100.056,4
Lone Raver,Lone Raver,Barry Can't Swim,2021-05-14,257299,46,0.496,0.731,0.194,8,0.602,0.584,0.0916,-12.526,0.0526,1,128.065,4
When Will I Learn,When Will I Learn,Tora,2021-05-27,169000,34,0.842,0.671,0.187,1,0.399,0.305,0.117,-11.571,0.0287,0,90.012,4
Loom (feat. Bonobo),Loom,Ólafur Arnalds,2020-10-15,226866,46,0.988,0.545,0.31,5,0.18,0.906,0.0686,-21.022,0.0337,0,156.694,4
