name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Longing Beats,Longing Beats,Dustin Pierce,2022-02-04,142343,58,0.786,0.783,0.244,9,0.351,0.936,0.102,-14.93,0.0811,0,150.01,4
Perfect Tonight,Perfect Tonight,Rapido_,2022-02-21,92800,53,0.893,0.678,0.55,3,0.245,0.811,0.125,-14.603,0.0317,0,74.998,4
Windowsills,Windowsills & Green Falls,Oscar Hollis,2021-11-02,155454,54,0.909,0.737,0.169,5,0.161,0.941,0.121,-18.395,0.11,1,87.981,4
Fade Away,Fade Away,lostoutside,2021-10-20,164500,57,0.573,0.672,0.189,4,0.142,0.921,0.112,-14.155,0.0373,1,139.904,4
Aquatic Crystals,Aquatic Crystals,Nitta' Gritta',2021-09-20,125217,54,0.635,0.823,0.386,5,0.249,0.953,0.114,-17.826,0.13,0,115.016,4
Always be mine,Minecraft Thong,submarine,2022-02-09,104880,53,0.771,0.833,0.196,11,0.438,0.893,0.196,-9.112,0.108,0,83.981,4
Foemeo,Foemeo,Earium,2021-06-06,135697,55,0.7,0.839,0.755,9,0.234,0.867,0.222,-9.119,0.307,0,87.116,4
Starlight,Starlight,Ol Wallace,2021-08-13,153488,54,0.0939,0.733,0.296,0,0.434,0.539,0.0828,-9.147,0.197,0,171.986,4
Love Me Right,Lost Instrument,Loe Brezy,2022-02-02,102750,56,0.0551,0.667,0.367,6,0.717,0.865,0.093,-8.431,0.0843,1,159.945,4
Walk In The Park,Walk In The Park,St. Vrain,2022-05-20,131000,7,0.912,0.838,0.326,3,0.259,0.921,0.144,-11.417,0.0491,1,119.991,4
lounge life,lounge life,riviwi,2022-05-20,118554,36,0.489,0.743,0.533,11,0.333,0.903,0.215,-12.684,0.153,0,83.004,4
Slump Chills,Slump Chills,Damn Homies,2022-05-20,162857,36,0.18,0.663,0.89,0,0.558,0.947,0.157,-8.445,0.174,1,83.973,4
Goodbye,Polar Picnic EP,by the way,2022-05-20,94588,16,0.565,0.514,0.185,0,0.441,0.964,0.101,-13.097,0.0312,1,84.997,4
Chino,Chino,Pepe.,2022-05-18,189772,34,0.651,0.811,0.469,0,0.442,0.243,0.119,-11.909,0.137,1,95.0,4
Soul Survivor,Soul Survivor,Mindscape,2022-05-20,181214,33,0.342,0.69,0.665,2,0.367,0.78,0.107,-10.892,0.0875,0,84.986,4
Eye Of The Storm,Eye Of The Storm,Sebastian Kamae,2022-05-20,122758,31,0.962,0.607,0.113,10,0.191,0.926,0.109,-9.553,0.0309,0,86.994,4
Falling Stars,Falling Stars,Casiio,2022-05-20,103509,30,0.87,0.63,0.346,8,0.079,0.908,0.103,-17.133,0.0657,0,130.045,4
Tokyo memories,Tokyo memories,yoshio.,2022-05-16,161142,12,0.925,0.603,0.0976,5,0.278,0.744,0.374,-14.619,0.0519,1,139.949,4
Flowers Arise,Flowers Arise,Krynoze,2022-05-16,134000,44,0.338,0.713,0.247,11,0.307,0.167,0.144,-7.662,0.0501,0,79.868,4
Madness,Madness,DLJ,2022-05-13,165398,33,0.897,0.534,0.0448,4,0.393,0.731,0.117,-8.972,0.0293,0,82.997,4
Flavor,Flavor,Summerfields,2022-05-10,152727,12,0.937,0.821,0.0576,5,0.594,0.94,0.12,-12.082,0.14,0,76.994,4
Congratulations,Congratulations,El Thesaurus,2022-05-15,108210,31,0.853,0.68,0.405,11,0.527,0.873,0.103,-10.131,0.0352,1,80.008,4
Foyer,Foyer,Brief & Breezy,2022-05-09,169693,0,0.37,0.772,0.518,11,0.398,0.876,0.134,-9.663,0.0525,0,139.955,1
Lumbre,Lumbre,Canapé,2022-05-13,120000,25,0.98,0.723,0.74,5,0.236,0.89,0.0917,-16.093,0.0804,1,82.044,3
All About Us,Digital Dice,Lekie Low,2022-05-12,106666,0,0.348,0.669,0.237,11,0.317,0.947,0.109,-13.99,0.0402,1,90.037,4
Don’t Forget Me,Don’t Forget Me,Popcorn Trees,2022-05-12,109333,0,0.626,0.915,0.229,1,0.268,0.74,0.0913,-10.684,0.1,0,89.984,4
lofi jam,lofi jam,dave.,2021-08-27,139720,55,0.595,0.662,0.33,11,0.406,0.748,0.143,-14.423,0.189,0,82.025,4
"Why, Yes My Good Sir",GROOVE!,Beat Oven,2022-01-18,103448,53,0.523,0.668,0.183,3,0.441,0.918,0.101,-11.824,0.0569,1,173.991,4
Your Vibe,De La Crème,Lofi Lucy,2022-02-09,87886,55,0.822,0.831,0.553,6,0.287,0.421,0.121,-14.019,0.0565,1,109.988,4
Crunchtime,Crystals,Mike Oliver,2022-04-06,131607,51,0.552,0.743,0.618,8,0.186,0.893,0.107,-17.458,0.0583,0,168.163,4
