name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
rises the moon,recently,Liana Flores,2019-04-10,161929,75,0.947,0.483,0.203,5,0.129,0.145,0.106,-20.149,0.0349,0,137.35,3
Way Out,Way Out,FKJ,2022-04-29,200213,54,0.928,0.32,0.141,3,0.359,0.878,0.121,-13.092,0.0657,1,176.757,4
Slide,Sad 2 / Slide,Lomelda,2021-10-13,60905,53,0.949,0.502,0.476,7,0.239,0.0282,0.113,-13.859,0.0588,1,117.507,4
My Mind Is a Maze,Dumb Daze,Alann8h,2020-05-14,146677,55,0.671,0.85,0.468,1,0.223,3.23e-05,0.0914,-11.46,0.0705,1,95.008,4
12:34 AM,12:34 AM,Billy Lemos,2017-06-27,127000,64,0.656,0.711,0.32,1,0.473,0.0666,0.119,-11.971,0.116,1,90.001,4
peas,gelato,boylife,2021-10-08,226306,51,0.322,0.477,0.134,4,0.372,0.0227,0.824,-9.155,0.0318,1,111.868,4
moonlight,moonlight,dhruv,2020-02-21,159130,2,0.636,0.737,0.561,11,0.5,0.00138,0.104,-11.229,0.173,0,92.016,4
Charmed,Charmed,Σtella,2022-03-22,158359,54,0.417,0.782,0.793,11,0.359,0.0237,0.203,-9.088,0.0302,1,98.996,4
My Friend,5am and I Can't Sleep,kelz,2022-05-06,327888,43,0.326,0.612,0.2,1,0.689,0.0987,0.107,-9.04,0.0354,0,91.99,4
Løb Stop Stå,Mellem Dine Læber,Boom Clap Bachelors,2020-08-07,288617,50,0.866,0.493,0.279,0,0.335,0.00174,0.115,-13.986,0.218,1,93.603,4
Love Proceeding,Talk Memory,BADBADNOTGOOD,2021-10-08,325828,54,0.077,0.318,0.584,8,0.569,0.926,0.0854,-10.453,0.0355,0,159.803,4
Chocolate Hills,Chocolate Hills,Khruangbin,2022-01-19,190433,57,0.572,0.661,0.218,3,0.281,0.00929,0.109,-11.854,0.0671,1,129.9,4
Thanks Again,Thanks Again,Lucca Dohr,2022-04-28,210693,45,0.834,0.516,0.237,5,0.313,1.02e-05,0.143,-8.853,0.029,1,120.18,4
My Sunny Day - Kina Remix,My Sunny Day (Kina Remix),Ted Fresco,2022-03-25,116053,53,0.638,0.587,0.345,10,0.342,7.84e-06,0.0983,-9.604,0.0477,1,89.836,4
anywhere,souvenir,Jonah Yano,2020-06-21,188768,45,0.425,0.615,0.209,0,0.437,0.0477,0.114,-8.105,0.0293,1,141.765,4
Alphamale,Alphamale,Mandaworld,2021-05-14,297428,48,0.275,0.704,0.513,1,0.767,0.864,0.0957,-9.528,0.0298,0,105.004,4
Moonlight Shawty,Moonlight Shawty,Fatboibari,2018-09-06,167994,72,0.835,0.671,0.128,5,0.184,0.0011,0.0794,-15.541,0.123,1,106.04,4
Slowdiving,Hundred Fifty Roses,Duñe,2020-05-22,194157,50,0.226,0.723,0.958,4,0.708,0.73,0.306,-10.91,0.055,0,89.002,4
Greener,Greener,FKJ,2022-04-07,234213,28,0.567,0.602,0.565,11,0.508,0.192,0.0729,-9.613,0.107,0,165.863,4
you and the everything of everything,you and the everything of everything,RⱯHM ⚉,2021-01-29,160120,47,0.206,0.635,0.239,1,0.448,0.00259,0.103,-9.106,0.0598,1,148.024,4
IDK,Pale Blue,MOSSS,2019-10-11,213497,50,0.936,0.416,0.247,5,0.452,0.514,0.257,-11.233,0.0589,0,73.605,4
I Can't Help (with Sarcastic Sounds),I Can't Help (with Sarcastic Sounds),Shoffy,2020-02-07,121250,0,0.393,0.714,0.318,2,0.4,0.000718,0.109,-8.264,0.0618,1,81.974,4
2 Oceans,2 Oceans,Trevor Hall,2022-04-01,213055,54,0.303,0.588,0.209,9,0.569,0.0342,0.101,-7.721,0.0295,1,101.988,4
Absence of You,Absence of You,grentperez,2022-01-14,194745,59,0.348,0.427,0.17,7,0.432,3.46e-05,0.104,-9.743,0.0642,1,71.209,3
