name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Avril 14th,Drukqs,Aphex Twin,2001-10-22,125520,61,0.996,0.558,0.37,8,0.0259,0.871,0.0969,-30.016,0.0458,1,157.811,4
Movements (Chapter III),Nothing Is Still,Leon Vynehall,2018-06-15,231640,50,0.816,0.52,0.0392,11,0.304,0.366,0.0948,-15.255,0.0284,0,103.981,4
She Just Likes to Fight,There Is Love in You (Expanded Edition),Four Tet,2010-01-25,281303,47,0.788,0.732,0.701,2,0.504,0.828,0.0996,-11.647,0.0302,1,118.107,4
Appeayl 2 U part 1,Appeayl 2 U,Gayngs,2020-08-13,236703,0,0.795,0.521,0.226,1,0.553,0.202,0.188,-10.734,0.0801,0,138.09,4
Afternoon Love In,Vocal Studies and Uprock Narratives,Prefuse 73,2001-06-11,241093,41,0.128,0.77,0.411,3,0.322,0.836,0.0806,-15.169,0.0943,1,89.994,4
Implosion-Explosion,The Tunnel and the Clearing,Colleen,2021-05-19,333706,8,0.12,0.587,0.755,5,0.88,0.797,0.119,-11.797,0.0352,1,108.009,4
Peacock Tail,The Campfire Headphase,Boards of Canada,2005-10-17,324906,49,0.165,0.641,0.46,2,0.477,0.922,0.0788,-13.083,0.058,1,171.424,4
Four Horsemen,Sketch for Winter X: Immortal Word,Jacober,2021-02-26,192300,34,0.756,0.557,0.366,11,0.363,0.958,0.0942,-15.366,0.0332,1,92.399,4
People On Sunday,People On Sunday,Domenique Dumont,2020-11-13,225207,41,0.957,0.651,0.285,6,0.404,0.945,0.14,-12.925,0.0393,0,144.003,4
"White Flower, Dark Hill","White Flower, Dark Hill",Nailah Hunter,2020-05-12,148396,0,0.993,0.361,0.126,2,0.0728,0.927,0.125,-17.922,0.0382,1,120.648,4
Sais,Shadows,Floating Points,2011-11-21,483594,37,0.474,0.76,0.145,5,0.301,0.878,0.112,-13.405,0.0497,0,133.977,4
Always Returning - Remastered 2005,Apollo,Brian Eno,1983-07-01,244181,44,0.687,0.299,0.131,10,0.114,0.859,0.0764,-24.355,0.042,1,70.729,4
Sugar for the Pill,Slowdive,Slowdive,2017-05-05,270918,0,0.207,0.533,0.419,7,0.545,0.797,0.113,-7.681,0.0243,1,98.014,4
White Gloves,The Universe Smiles Upon You,Khruangbin,2015-11-06,218306,62,0.707,0.635,0.772,2,0.3,0.829,0.574,-13.957,0.0285,0,91.452,4
Music on My Teeth,Knock Knock,DJ Koze,2018-05-04,256347,45,0.877,0.249,0.426,4,0.431,0.0233,0.567,-11.391,0.0429,1,199.235,4
Sometimes He's In My Dreams,Sometimes He's In My Dreams,Mary Lattimore,2020-07-15,226876,0,0.903,0.602,0.125,6,0.174,0.911,0.0821,-20.404,0.0462,1,83.419,4
20:17,Trance Frendz,Ólafur Arnalds,2016-03-04,354988,55,0.987,0.359,0.169,3,0.0224,0.866,0.111,-29.089,0.039,1,107.849,3
At Height,At Height,Inwards,2020-04-01,232960,0,0.302,0.554,0.186,1,0.529,0.834,0.111,-16.668,0.0327,1,133.979,4
