name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
"King's Dead (with Kendrick Lamar, Future & James Blake)",Black Panther The Album Music From And Inspired By,Kendrick Lamar,2018-02-09,225266,64,0.00102,0.566,0.407,1,0.724,0.0,0.158,-4.574,0.323,1,81.774,4
I.Crawl,Because the Internet,Childish Gambino,2013-12-10,209473,55,0.0445,0.588,0.343,6,0.539,4.82e-06,0.121,-8.816,0.0396,1,132.976,4
6 Foot 7 Foot,Tha Carter IV,Lil Wayne,2011-01-01,248586,71,0.000707,0.365,0.604,2,0.751,0.0,0.318,-5.429,0.304,1,79.119,4
The Spins,K.I.D.S.,Mac Miller,2010-08-13,195873,81,0.0135,0.794,0.55,9,0.766,0.0,0.0785,-3.894,0.0377,0,127.007,4
BILLIE EILISH.,BILLIE EILISH.,Armani White,2022-05-19,99282,66,0.112,0.9,0.745,1,0.504,0.0,0.0936,-6.641,0.26,1,100.024,4
Lovers Rock,French Exit,TV Girl,2014-06-05,213920,78,7.53e-06,0.559,0.573,5,0.871,0.00524,0.096,-5.338,0.0392,0,104.976,4
Pretty,Pretty,Coco & Clair Clair,2017-11-15,224349,73,0.12,0.768,0.731,8,0.561,9.2e-06,0.0916,-6.657,0.0453,1,120.049,4
Some,Some,Steve Lacy,2016-10-31,118393,72,0.00548,0.784,0.634,7,0.554,0.254,0.0995,-6.417,0.03,1,104.01,4
The Perfect Girl - The Motion Retrowave Remix,The Perfect Girl (The Motion Retrowave Remix),Mareux,2022-05-16,181016,53,0.000835,0.594,0.164,6,0.759,0.879,0.077,-7.883,0.0512,0,118.062,4
We Don't Care,The College Dropout,Kanye West,2004-02-10,239880,64,0.0142,0.595,0.647,11,0.754,0.0,0.247,-5.827,0.181,0,83.155,4
WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),CALL ME IF YOU GET LOST,"Tyler, The Creator",2021-06-25,121572,77,0.269,0.493,0.852,0,0.653,0.0,0.511,-5.666,0.0466,0,142.347,4
orange juice,orange juice,BETWEEN FRIENDS,2022-04-15,163333,51,0.512,0.758,0.886,4,0.526,0.0,0.364,-7.167,0.0336,1,124.987,4
Jealous,Jealous,Eyedress,2019-12-06,122338,79,0.00491,0.474,0.696,9,0.921,0.85,0.476,-10.431,0.0457,0,93.01,4
Selfish Soul,Selfish Soul,Sudan Archives,2022-05-18,142666,49,0.0206,0.677,0.246,7,0.551,0.269,0.088,-7.963,0.0293,1,106.954,4
Frontin' (feat. Jay-Z) - Club Mix,The Neptunes Present... Clones,The Neptunes,2003-08-19,236506,66,0.453,0.894,0.759,9,0.404,1.57e-06,0.0801,-5.913,0.13,0,102.009,4
Kids,Kids,Current Joys,2015-03-08,269142,10,0.508,0.827,0.904,6,0.66,0.403,0.0756,-9.669,0.0337,1,113.449,4
girl ur so pretty,girl ur so pretty,Ambar Lucid,2022-05-12,188543,48,0.0419,0.668,0.49,7,0.465,0.0,0.108,-7.291,0.0282,0,97.976,4
Where you are (feat. WILLOW),Where you are (feat. WILLOW),PinkPantheress,2022-04-22,153706,72,0.0965,0.689,0.362,0,0.872,0.000498,0.117,-4.786,0.0477,1,134.994,4
Lip Gloss,Lip Gloss,Lil Mama,2007-03-06,219773,61,0.41,0.619,0.94,2,0.87,1.37e-06,0.0571,-4.956,0.501,1,188.772,4
Them Changes,Drunk,Thundercat,2017-02-24,188385,0,0.551,0.784,0.715,8,0.551,0.000635,0.0899,-8.645,0.064,1,81.678,4
Rich Wallice,90s American Superstar,Wallice,2022-05-06,140277,38,0.162,0.475,0.699,11,0.664,0.0,0.525,-4.475,0.0501,0,191.862,4
God Save The Girl,Better Late Than Forever,Riovaz,2022-04-28,151019,49,0.000749,0.84,0.925,8,0.347,0.00987,0.0942,-12.265,0.143,1,140.014,4
Sensitive,Sensitive,Dreamer Isioma,2020-01-29,174720,70,0.166,0.601,0.351,7,0.649,3.35e-05,0.165,-6.979,0.133,1,89.73,4
hello!,"oh, how perfect",ROLE MODEL,2019-11-13,188546,60,0.505,0.791,0.556,10,0.462,0.0,0.0991,-4.023,0.0383,1,125.913,4
Softcore,Hard To Imagine The Neighbourhood Ever Changing,The Neighbourhood,2018-11-02,206280,86,0.0484,0.575,0.37,9,0.568,0.000417,0.286,-5.509,0.03,0,93.986,4
WILSHIRE,CALL ME IF YOU GET LOST,"Tyler, The Creator",2021-06-25,515865,66,0.0451,0.555,0.555,1,0.712,5.14e-06,0.182,-7.446,0.323,1,78.958,4
Dog Food (feat. Denzel Curry),Dog Food (feat. Denzel Curry),IDK,2022-04-29,184123,58,0.00301,0.704,0.367,7,0.893,1.82e-05,0.571,-5.403,0.0571,1,105.018,4
GOOFY!,GOOFY!,Hadji Gaviota,2022-05-11,149250,37,0.0542,0.767,0.963,9,0.624,0.0,0.461,-7.789,0.045,1,119.995,4
help herself (with BENEE),help herself (with BENEE),bbno$,2021-04-30,166613,60,0.45,0.592,0.67,4,0.837,0.0222,0.145,-6.987,0.0375,0,167.992,4
Reflections,Hard To Imagine The Neighbourhood Ever Changing,The Neighbourhood,2018-11-02,244013,74,0.114,0.648,0.544,11,0.594,0.0462,0.116,-7.027,0.0293,0,113.983,4
Hypnotize - 2007 Remaster,Greatest Hits,The Notorious B.I.G.,2007-03-05,230000,70,0.176,0.895,0.632,9,0.694,0.0,0.292,-4.384,0.275,1,93.944,4
Lemon,NO ONE EVER REALLY DIES,N.E.R.D,2017-12-15,219706,60,0.00214,0.916,0.201,1,0.727,0.000145,0.118,-6.556,0.0861,1,94.997,4
Diablo,Faces,Mac Miller,2021-10-15,198107,65,0.0395,0.595,0.464,1,0.617,4.06e-06,0.619,-4.238,0.31,1,159.83,4
I Hate U,I Hate U,SZA,2021-12-03,174000,80,0.507,0.535,0.412,7,0.388,0.0,0.11,-9.805,0.155,0,106.703,5
Charmander,Charmander,Aminé,2021-10-25,131883,59,0.542,0.708,0.596,10,0.552,0.00377,0.175,-7.101,0.0714,1,87.195,4
No Good Reason,Ivory,Omar Apollo,2022-04-08,108626,55,0.00925,0.73,0.811,8,0.591,2.7e-06,0.0895,-8.565,0.149,1,110.741,5
Pain,Pain,PinkPantheress,2021-06-07,98544,70,0.227,0.829,0.81,1,0.617,0.00306,0.0618,-8.497,0.14,1,125.605,4
505,Favourite Worst Nightmare (Standard Version),Arctic Monkeys,2007-04-24,253586,80,0.00237,0.52,0.234,0,0.852,5.79e-05,0.0733,-5.866,0.0543,1,140.267,4
Dance,Dance,Jay Safari,2022-02-02,165485,53,0.0321,0.79,0.628,9,0.661,0.00305,0.126,-8.295,0.0349,0,116.007,4
I Feel Fantastic,I Feel Fantastic,Riovaz,2021-12-07,146938,66,0.194,0.771,0.688,11,0.536,0.00919,0.153,-16.116,0.109,0,135.684,4
Gravity,For My Own Sake,Ferdous,2021-01-15,158980,53,0.397,0.824,0.698,6,0.554,0.0079,0.102,-10.247,0.249,0,157.038,4
IDK WHAT TO TELL YOU,LOVE BLACK,Bktherula,2021-10-22,210730,56,0.0313,0.502,0.449,6,0.64,2.16e-06,0.154,-9.702,0.0286,0,131.551,3
Red Dot Music,Watching Movies with the Sound Off (Deluxe Edition),Mac Miller,2013-06-18,367930,56,0.156,0.537,0.284,5,0.686,0.0,0.158,-6.734,0.459,0,148.757,4
Mardy Bum,"Whatever People Say I Am, That's What I'm Not",Arctic Monkeys,2006-02-21,175440,57,0.0288,0.634,0.312,2,0.599,0.0,0.197,-5.447,0.0365,1,112.215,4
Pleaser,Pleaser,Wallows,2017-04-12,187895,68,0.126,0.497,0.385,9,0.914,1.98e-05,0.274,-4.308,0.0455,1,148.893,4
clam chowder,clam chowder,Shy High,2022-02-11,152727,50,0.772,0.795,0.466,4,0.546,0.0615,0.182,-9.265,0.0599,0,110.014,4
Black Sheep - Brie Larson Vocal Version,Black Sheep (Brie Larson Vocal Version),Metric,2010,294065,64,0.000278,0.462,0.173,11,0.599,0.000441,0.0909,-5.735,0.0375,0,123.938,4
I THINK,IGOR,"Tyler, The Creator",2019-05-17,212013,72,0.00881,0.826,0.431,8,0.579,0.0,0.129,-8.241,0.0801,0,121.075,4
Uber EveryWhere (OG House Mix),Uber EveryWhere (OG House Mix),MadeinTYO,2021-08-31,194652,48,0.112,0.919,0.739,1,0.588,0.00321,0.406,-10.976,0.817,0,126.054,4
Money,Portamento,The Drums,2011-09-06,233655,61,0.216,0.603,0.452,4,0.918,0.146,0.287,-6.652,0.0641,0,102.473,4
Pink + White,Blonde,Frank Ocean,2016-08-20,184516,78,0.67,0.544,0.554,9,0.552,4.57e-05,0.415,-7.45,0.0991,1,159.738,3
ARE YOU WITH THAT?,Vince Staples,Vince Staples,2021-07-09,138410,64,0.543,0.859,0.563,1,0.423,0.0,0.104,-10.698,0.283,0,125.89,4
Freaks,Buds,Surf Curse,2015-05-10,147036,0,4.16e-05,0.346,0.403,9,0.944,0.565,0.0546,-9.874,0.0485,1,179.63,4
Vest & Boxers,Vest & Boxers,Lava La Rue,2022-01-27,177064,47,0.0443,0.869,0.902,11,0.559,0.00127,0.139,-9.203,0.112,0,121.04,4
Gonna Bleach My Eyebrows,Gonna Bleach My Eyebrows,Alemeda,2021-10-03,134556,54,0.18,0.876,0.527,5,0.843,0.0021,0.116,-5.669,0.0701,0,131.997,4
Blue World,Circles,Mac Miller,2020-01-17,209440,74,0.389,0.742,0.508,8,0.553,0.0,0.0694,-8.98,0.419,1,84.931,4
Devil In A New Dress,My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-22,351946,77,0.0175,0.435,0.206,8,0.76,0.0,0.158,-4.935,0.0721,0,80.082,4
Hell N Back,Hell N Back,Bakar,2019-08-15,213573,72,0.312,0.584,0.72,10,0.684,9.05e-05,0.112,-4.314,0.567,0,210.164,4
More Than Friends,More Than Friends,Aidan Bissett,2020-09-26,183012,41,0.58,0.559,0.667,6,0.655,0.000155,0.124,-6.792,0.051,1,160.016,4
striptease,striptease,carwash,2019-11-05,160659,70,0.127,0.693,0.732,8,0.572,0.952,0.102,-8.89,0.0749,1,130.05,4
Favorite (feat. Duckwrth),Favorite (feat. Duckwrth),Duckwrth,2022-01-28,139805,44,0.174,0.686,0.302,1,0.572,0.0,0.121,-8.105,0.259,1,102.794,4
"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",Isolation,Kali Uchis,2018-04-06,207454,76,0.301,0.702,0.843,4,0.659,0.00201,0.218,-6.766,0.13,0,79.64,4
Photo ID (with Dominic Fike),Photo ID (with Dominic Fike),Remi Wolf,2021-03-03,207927,61,0.192,0.747,0.862,1,0.822,0.0,0.288,-5.15,0.0893,1,115.937,4
10%,BUBBA,KAYTRANADA,2019-12-13,186680,66,0.0267,0.794,0.615,6,0.757,0.000306,0.0621,-6.644,0.123,0,107.99,4
Just A Stranger (feat. Steve Lacy),Isolation,Kali Uchis,2018-04-06,177697,66,0.127,0.745,0.641,9,0.672,0.0,0.103,-5.738,0.0346,1,108.031,4
Wait a Minute!,ARDIPITHECUS,WILLOW,2015-01-11,196520,87,0.0371,0.764,0.672,3,0.705,1.94e-05,0.0943,-5.279,0.0278,0,101.003,4
All my friends know - Anz Remix,to hell with it (Remixes),PinkPantheress,2022-01-28,311066,45,0.0237,0.838,0.397,10,0.745,0.0544,0.146,-5.244,0.065,1,132.005,4
Krunk,Sad Night Dynamite,Sad Night Dynamite,2021-02-26,187466,53,0.392,0.815,0.578,1,0.509,0.0442,0.299,-7.288,0.0419,1,94.023,4
Rich Girl,Love Angel Music Baby (Deluxe Version),Gwen Stefani,2004-11-23,236213,64,0.0294,0.856,0.722,7,0.754,1.49e-05,0.206,-2.728,0.0416,0,98.018,4
Meet Me At Our Spot,THE ANXIETY,THE ANXIETY,2020-03-13,162680,82,0.0153,0.773,0.399,2,0.47,0.000193,0.0851,-7.93,0.0299,1,94.995,4
Buttercup,Landmark,Hippo Campus,2017-02-24,226610,63,0.199,0.623,0.199,9,0.763,6.52e-06,0.126,-4.412,0.0719,1,108.871,4
Brand New Guy (feat. ScHoolboy Q),LIVE.LOVE.A$AP,A$AP Rocky,2011-10-31,288013,51,0.00967,0.49,0.325,7,0.903,0.0,0.334,-3.683,0.339,1,114.191,4
Shy,Shy,Hether,2019-11-06,201697,53,0.301,0.727,0.94,8,0.531,0.000343,0.152,-8.219,0.0321,1,105.617,4
