name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Coastin’,Coastin’,Victoria Monét,2021-08-05,175319,64,0.0264,0.807,0.748,8,0.481,1.28e-06,0.112,-7.362,0.0713,0,91.005,4
For Real,Bravebird,Amel Larrieux,2004-01-20,226333,50,0.32,0.595,0.756,11,0.525,0.0,0.0419,-7.338,0.245,1,136.061,4
Out Loud (feat. Kehlani),Broken Hearts Club,Syd,2022-04-08,203036,64,0.328,0.565,0.527,6,0.364,0.0,0.108,-9.512,0.2,1,155.705,3
Closer,Even Closer,Goapele,2002-02-12,229693,55,0.462,0.714,0.372,1,0.436,0.0117,0.107,-6.471,0.0342,1,93.025,4
Found (feat. Brent Faiyaz),Found (feat. Brent Faiyaz),Tems,2021-09-09,209454,66,0.625,0.821,0.333,7,0.412,1.64e-05,0.0985,-7.795,0.0341,1,109.977,4
Tell Me,Groove Theory,Groove Theory,1995-07-25,236066,62,0.035,0.8,0.888,6,0.362,3.99e-06,0.0667,-10.849,0.0634,0,93.059,4
Whoa,"- Ugh, those feels again",Snoh Aalegra,2019-08-16,199179,61,0.121,0.665,0.494,0,0.516,0.00152,0.105,-11.27,0.0642,0,93.983,4
So Good,Best of Both Worlds,Davina,2015-05-15,274179,27,0.0679,0.78,0.711,1,0.342,6.45e-05,0.21,-7.582,0.0685,1,82.979,4
Please Do Not Lean (feat. BADBADNOTGOOD),Please Do Not Lean,Daniel Caesar,2022-04-22,240937,71,0.241,0.67,0.46,1,0.41,8.55e-06,0.167,-13.444,0.0381,1,127.972,4
Can U Handle It?,Confessions (Expanded Edition),Usher,2004-03-23,279360,49,0.425,0.754,0.382,0,0.319,1.1e-06,0.127,-8.773,0.0464,1,129.858,4
Mine,Mine,Alex Isley,2020-10-21,212571,53,0.828,0.347,0.133,6,0.395,1.06e-05,0.125,-9.278,0.0567,0,67.492,4
Dangerously In Love,Survivor,Destiny's Child,2001-05-01,306306,48,0.544,0.419,0.423,3,0.518,0.0,0.445,-5.689,0.167,0,98.253,4
Lay,Play With The Changes,Rochelle Jordan,2021-04-30,211597,35,0.533,0.362,0.254,9,0.454,0.0,0.0603,-8.937,0.0427,0,85.771,5
The Sweetest Taboo,Promise,Sade,1985-11-04,277373,61,0.128,0.752,0.962,10,0.823,0.0098,0.303,-9.455,0.0447,0,91.563,4
Gonna Love Me,K.T.S.E.,Teyana Taylor,2018-06-23,166997,68,0.402,0.514,0.312,10,0.506,2.56e-05,0.191,-7.095,0.28,0,88.044,4
At Your Best (You Are Love),Age Ain't Nothing But A Number,Aaliyah,1994-05-22,291400,62,0.761,0.626,0.563,9,0.441,0.0138,0.0685,-10.637,0.0308,0,78.094,4
Sunshine,Mother,Cleo Sol,2021-08-20,262960,50,0.623,0.626,0.054,2,0.265,0.0689,0.125,-15.297,0.0738,0,86.106,4
When I'm in Your Arms,Rose in the Dark,Cleo Sol,2020-03-27,335310,59,0.476,0.596,0.655,0,0.462,0.0581,0.112,-10.605,0.0589,1,173.866,4
Falling Higher,Overture,Gaidaa,2020-07-24,198137,45,0.0114,0.629,0.639,5,0.665,0.028,0.084,-6.679,0.0843,0,92.681,4
Redbone,"""Awaken, My Love!""",Childish Gambino,2016-12-02,326933,81,0.169,0.743,0.577,1,0.344,0.00879,0.103,-11.174,0.118,1,160.15,4
Good & Plenty,Good & Plenty,Alex Isley,2020-07-17,204705,58,0.788,0.658,0.354,9,0.619,0.0667,0.0951,-7.316,0.0772,0,136.077,4
