name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Different Type Of Vibeo,21' Til Infinity,Matt Large,2021-08-27,192542,37,0.00503,0.902,0.821,1,0.858,0.845,0.0941,-4.908,0.039,1,91.999,4
Tea For Three,Lo-fi Addiction,French Connection,2021-06-21,137345,41,0.00959,0.517,0.167,0,0.331,0.861,0.53,-14.3,0.0369,1,170.061,4
High Blossom,High Blossom,Lætitia,2021-08-13,149333,36,0.0882,0.572,0.338,9,0.793,0.862,0.119,-9.683,0.0594,0,180.038,4
Couchsurfing,Great Wall,Soul Dojo,2020-12-14,113043,37,0.047,0.661,0.321,9,0.343,0.801,0.142,-12.409,0.0344,0,92.092,4
Bikes,Bikes,Nometronn,2021-06-11,85340,35,0.0152,0.807,0.324,6,0.554,0.878,0.142,-6.548,0.114,1,90.02,4
lemon,lemon,Wun Two,2021-08-06,114681,45,0.853,0.844,0.907,1,0.244,0.827,0.108,-13.287,0.155,1,83.106,4
Backrest,Backrest,Mama Gecko,2020-12-01,146292,36,0.746,0.576,0.706,3,0.498,0.249,0.273,-10.707,0.086,0,89.013,4
Morning Vibes,Morning Vibes,IDO 33,2021-09-03,155000,40,0.4,0.763,0.475,5,0.435,0.833,0.102,-10.059,0.04,0,177.92,4
Poetree,Poetree,Jazzy James,2020-06-19,99545,34,0.574,0.654,0.342,7,0.322,0.841,0.225,-8.131,0.0389,0,87.919,4
belief tree,belief tree,Bullseye Release,2021-06-22,180000,33,0.576,0.757,0.533,0,0.139,0.695,0.244,-6.647,0.0468,0,80.009,4
Watch Your Back,Watch Your Back,baegel,2021-11-05,132693,33,0.154,0.804,0.375,1,0.527,0.889,0.0938,-3.471,0.0503,1,93.084,4
tenacity,tenacity,barry straw,2022-02-20,120000,33,0.359,0.738,0.791,5,0.495,0.52,0.242,-8.062,0.24,0,86.008,4
Lofi Personal Shrinkage,Lofi Personal Shrinkage,Single Friend,2021-09-03,114626,39,0.507,0.701,0.577,0,0.256,0.901,0.109,-8.308,0.111,0,134.284,4
In the Cypher,Big Big Man,Bonkers Beat Club,2022-04-01,148244,33,0.0552,0.762,0.819,2,0.661,0.78,0.183,-6.04,0.0357,1,98.728,4
mtv cribs,mtv cribs,Kobe Banks,2022-04-15,98666,31,0.0938,0.825,0.736,10,0.637,0.901,0.115,-8.039,0.206,0,180.046,4
Immersive,Immersive,Pjuck,2021-06-04,184666,33,0.0136,0.575,0.0361,0,0.6,0.802,0.205,-12.59,0.0564,0,89.852,4
New Era,New Era,Flawless Delivery,2022-04-11,170965,38,0.0513,0.58,0.682,10,0.632,0.251,0.0743,-6.726,0.118,0,88.053,4
Big Big Man,Big Big Man,Bonkers Beat Club,2022-04-01,126396,33,0.00317,0.571,0.714,2,0.576,0.274,0.114,-5.669,0.0284,0,91.963,4
Full Level,Full Level,SP-Mato,2022-04-15,93000,34,0.0587,0.735,0.53,4,0.498,0.866,0.219,-12.132,0.0424,1,83.969,4
Fresh Pour Over Jam,Fresh Pour Over Jam,Wavy Naps,2022-01-28,121250,34,0.782,0.744,0.63,10,0.447,0.861,0.139,-10.596,0.0978,0,95.969,4
Itchy Trigger Finger,"Fat Beats, Vol. 2",CVPELLV,2021-10-22,96072,0,0.107,0.654,0.408,0,0.966,0.213,0.11,-6.362,0.341,0,180.201,4
Big Apple,Big Apple,Saiko,2022-04-01,137857,50,0.469,0.731,0.499,8,0.393,0.506,0.163,-6.35,0.0938,0,83.885,4
Deeper (You & Me),Deeper (You & Me),Chip Sum,2022-05-13,122166,23,0.349,0.436,0.514,2,0.853,0.0434,0.374,-5.596,0.409,0,180.334,4
Gold Plated,Gold Plated,Stratotune,2022-05-12,133333,33,0.792,0.701,0.438,4,0.294,0.3,0.108,-8.645,0.0544,0,180.085,4
Highly Blessed,Highly Blessed,Little Smokey,2022-05-09,98666,27,0.293,0.732,0.601,7,0.518,0.469,0.136,-9.421,0.0465,0,90.003,4
