name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Awake (with Mahalia),Awake,Chiiild,2021-04-02,228626,0,0.315,0.504,0.665,5,0.579,0.0542,0.11,-7.418,0.0423,0,83.973,4
Bound (with Blood Orange),Bound (with Blood Orange),Wet,2021-10-20,220332,48,0.172,0.629,0.27,10,0.515,0.133,0.144,-10.128,0.0785,0,191.706,4
dirty dancer,dirty dancer,Orion Sun,2022-02-08,169720,56,0.376,0.702,0.515,7,0.525,0.0667,0.119,-5.028,0.0313,0,113.856,4
lived to love,lived to love,808vic,2021-09-22,255517,47,0.835,0.714,0.562,9,0.798,0.0133,0.0969,-10.997,0.0532,0,115.972,4
Intense,Blue Man,Cero Ismael,2021-02-18,141052,38,0.657,0.957,0.338,5,0.233,3.56e-05,0.144,-11.533,0.111,1,113.943,4
Found (feat. Brent Faiyaz),Found (feat. Brent Faiyaz),Tems,2021-09-09,209454,66,0.625,0.821,0.333,7,0.412,1.64e-05,0.0985,-7.795,0.0341,1,109.977,4
Blessed,Blessed,August Charles,2021-09-10,237049,53,0.547,0.667,0.241,7,0.355,8.67e-05,0.134,-10.013,0.0479,0,141.876,4
Verbs,Verbs,Peyton,2020-07-07,213800,50,0.265,0.66,0.458,1,0.735,0.0378,0.559,-7.571,0.0987,1,98.972,4
Dying in the Subtlety,Dying in the Subtlety,Cautious Clay,2020-11-18,139300,47,0.00256,0.721,0.397,9,0.559,5.08e-05,0.223,-8.152,0.0309,1,91.015,4
Baby Powder,Baby Powder,Jenevieve,2020-03-25,180435,0,0.323,0.784,0.682,1,0.521,0.000283,0.0518,-8.217,0.0529,0,78.456,3
You're The One - Spotify Singles,Spotify Singles,Arlo Parks,2022-03-28,229341,51,0.945,0.47,0.13,9,0.182,0.000562,0.0973,-13.444,0.11,0,95.139,3
I Got It,I Got It,Ogi,2022-02-09,207200,50,0.594,0.724,0.407,6,0.711,2.86e-06,0.135,-6.938,0.242,0,139.914,4
Scrimmage - Remix,Scrimmage (Remix),Huck,2021-01-29,283123,46,0.565,0.661,0.428,9,0.55,7.01e-06,0.0611,-9.996,0.0764,0,124.63,4
From My Heart and My Soul (feat. Phoelix),Dinner Party,Terrace Martin,2020-07-10,150496,55,0.117,0.696,0.615,11,0.538,0.157,0.108,-6.808,0.0904,0,93.07,4
Where U Goin' Tonight?,Magic 8ball,Mac Ayres,2021-01-08,263554,55,0.041,0.67,0.787,10,0.721,0.0,0.066,-4.039,0.307,0,102.17,4
Missing Out,Missing Out,Syd,2021-02-12,239744,47,0.00761,0.705,0.272,11,0.528,0.00412,0.129,-5.582,0.0416,1,119.816,4
Shine,Shine,Cleo Sol,2020-07-17,226118,52,0.686,0.742,0.601,1,0.504,0.517,0.103,-10.105,0.0392,1,140.0,4
Party On Mars,Protection,Shanté,2021-03-28,178200,43,0.845,0.74,0.13,0,0.336,5.26e-06,0.522,-7.824,0.104,1,98.996,4
Shibari Moon,Echo Hill Green Square,Oscar Key Sung,2021-06-21,216021,41,0.909,0.584,0.424,2,0.141,0.0,0.0671,-13.48,0.0826,1,136.606,4
Buying Time,Buying Time,Lucky Daye,2019-09-18,236949,49,0.732,0.765,0.667,5,0.437,0.00331,0.167,-8.994,0.0372,0,117.99,4
Yah / Element - Medley,Yah / Element (Medley),Joy Crookes,2019-09-13,176374,54,0.494,0.561,0.263,0,0.408,4.1e-06,0.172,-8.287,0.0729,1,133.65,4
Waiting For (feat. Jamila Woods),aiMless,rum.gold,2020-04-24,200214,56,0.201,0.738,0.598,2,0.379,1.1e-05,0.0806,-11.644,0.084,0,122.042,4
Connaissais de Face,Mordechai,Khruangbin,2020-06-26,260732,0,0.0504,0.64,0.971,10,0.452,0.768,0.0764,-12.552,0.0633,1,149.046,3
VIBE SAY,VIBE SAY,ChessNotCheckers,2021-07-16,191373,42,0.355,0.792,0.946,0,0.407,3.18e-05,0.0837,-14.921,0.0535,1,139.973,4
I Know I Know I Know,I Know I Know I Know,HOMESHAKE,2021-08-18,244743,42,0.737,0.736,0.406,2,0.133,0.27,0.354,-14.233,0.0306,1,97.057,4
MANGO (feat. Adi Oasis),MANGO (feat. Adi Oasis),KAMAUU,2020-09-04,245994,55,0.336,0.668,0.877,2,0.605,0.000206,0.115,-7.608,0.0454,0,83.002,4
Regrets,OMNI,Kevin Holliday,2021-08-11,154200,38,0.139,0.817,0.967,6,0.47,2.98e-05,0.0428,-10.272,0.0336,0,100.004,4
I'll Be Loving You,I'll Be Loving You,Yellow Days,2021-06-28,246144,49,0.475,0.676,0.336,1,0.267,0.586,0.113,-12.479,0.0593,1,83.053,4
Out The Window,Lost In America,Lo Village,2021-01-22,232600,46,0.284,0.674,0.706,1,0.822,2.51e-05,0.265,-6.384,0.2,1,97.987,4
Golden pt. 2 (feat. Mereba),Golden pt. 2 (feat. Mereba),Berhana,2020-11-11,137647,50,0.254,0.64,0.493,11,0.459,0.000251,0.153,-8.012,0.116,0,84.95,4
You,Pronounced Mcgee,Mk.gee,2018-05-18,310597,0,0.524,0.809,0.786,5,0.656,0.00455,0.075,-6.67,0.297,1,88.934,4
Chevy Chase Drive,Tales Never Told,Eleaze,2020-10-23,258823,42,0.769,0.448,0.334,11,0.246,0.0,0.117,-14.847,0.217,0,75.922,3
I'm Thru,I'm Thru,Luke Gomm,2020-11-12,191335,44,0.646,0.716,0.644,9,0.622,0.377,0.0897,-8.251,0.0529,1,108.004,4
curly,curly,Kiefer,2021-08-10,278391,39,0.564,0.643,0.23,7,0.496,0.676,0.0984,-8.958,0.0317,1,145.825,4
Fair Chance,It Is What It Is,Thundercat,2020-04-03,237699,53,0.628,0.693,0.254,9,0.504,0.4,0.111,-11.621,0.0402,1,105.021,4
Cherry Ice Cream Sundae,Cherry Ice Cream Sundae,Simpson,2020-10-06,192360,43,0.226,0.602,0.67,6,0.582,0.00126,0.107,-7.981,0.0305,1,89.976,4
