name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Mauá,Mauá,Chancla,2022-04-22,135108,55,0.147,0.743,0.562,7,0.571,0.919,0.12,-10.125,0.1,1,172.015,4
Arcade,Arcade,Flingu,2022-01-17,133714,49,0.365,0.658,0.469,1,0.489,0.795,0.168,-8.37,0.0716,0,80.023,4
Desert Flower,Desert Flower,Jost Esser,2021-06-18,140800,50,0.544,0.671,0.438,11,0.33,0.638,0.0847,-7.825,0.0809,0,75.041,4
Inner Child,Inner Child,Living Room,2022-04-01,103146,53,0.204,0.637,0.562,4,0.415,0.8,0.11,-12.521,0.0561,0,178.128,4
Souvient Toi,Color for Everyday Life,CrazyJaZz,2021-06-21,99112,53,0.0163,0.69,0.478,8,0.186,0.771,0.111,-12.782,0.109,0,170.185,4
Tropical,Tropical,Lito Akari,2021-10-22,159144,51,0.549,0.673,0.852,9,0.509,0.7,0.0689,-9.89,0.0497,0,75.007,4
Le Palais Rouge,Le Palais Rouge,Just Steezy Things,2021-10-28,183631,51,0.824,0.689,0.176,10,0.186,0.67,0.133,-12.419,0.0497,1,84.96,4
Sin Gas,Sin Gas,Chancla,2022-04-01,141595,55,0.607,0.828,0.496,4,0.519,0.568,0.105,-6.855,0.126,0,166.959,4
Cuba Libre,Cuba Libre,Hoffy Beats,2022-05-06,106519,42,0.63,0.635,0.808,1,0.568,0.93,0.0809,-9.402,0.0519,0,87.915,4
Corals,Corals,Mujo,2022-04-20,92000,48,0.878,0.716,0.565,11,0.584,0.837,0.405,-11.262,0.272,1,168.505,4
Delicious,Delicious,Zmeyev,2022-05-06,124000,45,0.147,0.844,0.323,2,0.415,0.66,0.111,-9.624,0.211,0,85.013,4
Taribo,Taribo,Khutko,2021-10-22,149610,51,0.453,0.514,0.638,10,0.567,0.917,0.0935,-11.811,0.0455,1,76.787,4
On My Way,On My Way,RINZ.,2021-07-12,133103,53,0.399,0.83,0.638,9,0.349,0.45,0.121,-10.128,0.109,1,87.064,4
Stardust,Stardust,Smeeagain,2021-07-30,140834,52,0.228,0.702,0.35,4,0.323,0.87,0.111,-12.437,0.0481,0,139.995,4
Valencia,Valencia,.multibeat,2022-02-23,148491,51,0.438,0.779,0.833,6,0.815,0.863,0.0776,-9.963,0.0553,1,90.524,4
Red Canyon,Red Canyon,Phlocalyst,2022-05-13,144545,43,0.928,0.697,0.213,9,0.344,0.946,0.101,-14.509,0.0377,0,87.993,4
Time to Let Go,Time to Let Go,Mr Mantega,2021-08-04,156000,50,0.379,0.715,0.291,7,0.42,0.854,0.156,-10.153,0.077,0,80.2,4
Blossoms,Blossoms,DYVN,2021-04-12,112000,50,0.213,0.746,0.0874,10,0.666,0.189,0.114,-6.08,0.113,1,160.056,4
Unity,Unity,Dr. Dundiff,2022-04-08,133597,53,0.384,0.779,0.366,3,0.29,0.804,0.0996,-10.656,0.0888,0,80.75,4
Salon,Salon,paris91,2022-02-25,107294,50,0.7,0.828,0.716,8,0.535,0.862,0.0992,-7.72,0.0411,0,85.011,4
Oasis,Oasis,Glimlip,2021-12-03,167012,51,0.644,0.662,0.308,9,0.309,0.868,0.13,-10.701,0.0665,0,81.991,4
Underground,Rendezvous,Konteks,2021-11-26,152823,53,0.831,0.577,0.594,3,0.264,0.86,0.204,-12.642,0.0384,0,84.997,4
I Like It,I Like It,Peter Kind,2021-11-09,133596,53,0.0776,0.877,0.583,1,0.385,0.809,0.267,-11.349,0.105,1,135.993,4
Carefree,Carefree,CrazyJaZz,2021-12-16,127951,51,0.14,0.738,0.817,0,0.458,0.822,0.106,-10.682,0.0764,1,89.985,4
Never Forget Where You Came From,Never Forget Where You Came From,High John,2021-07-01,140250,48,0.143,0.417,0.51,3,0.379,0.963,0.129,-16.497,0.0347,1,161.001,4
