name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
BTSTU - Edit,BTSTU (Edit),Jai Paul,2011-04-26,209493,44,0.784,0.658,0.544,1,0.38,0.00113,0.426,-7.206,0.438,1,89.961,4
Coming Back (feat. SZA),Friends That Break Your Heart,James Blake,2021-10-08,195905,64,0.625,0.653,0.102,10,0.496,0.274,0.151,-7.262,0.0868,0,86.013,4
See You Again (feat. Kali Uchis),Flower Boy,"Tyler, The Creator",2017-07-21,180386,83,0.371,0.558,0.62,6,0.559,7.49e-06,0.109,-9.222,0.0959,1,78.558,4
Slip,Highspeeds,Elliot Moss,2015-04-28,298906,62,0.754,0.716,0.354,0,0.275,1.85e-05,0.147,-10.013,0.0546,0,63.51,4
Purple Hearts,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,329295,83,0.167,0.567,0.737,3,0.824,2.65e-06,0.149,-6.973,0.296,0,138.202,4
HOUSE OF CARDS,HOUSE OF CARDS,Eyedress,2022-05-10,183490,52,0.000279,0.51,0.274,0,0.461,0.912,0.146,-9.687,0.0341,1,115.06,4
Dead Man Walking,Dead Man Walking,Brent Faiyaz,2020-09-18,247079,75,0.279,0.505,0.439,9,0.267,0.0,0.096,-13.763,0.05,0,143.929,4
Moon,Donda,Kanye West,2021-08-29,156091,75,0.898,0.319,0.254,5,0.236,1.62e-05,0.272,-9.644,0.0318,1,162.351,4
Dark Red,Dark Red,Steve Lacy,2017-02-20,173104,85,0.449,0.603,0.775,6,0.783,7.96e-06,0.119,-4.023,0.062,1,172.041,4
PRIDE.,DAMN.,Kendrick Lamar,2017-04-14,275253,79,0.0786,0.665,0.37,4,0.535,1.68e-05,0.154,-7.056,0.0572,0,138.842,4
BEST INTEREST,BEST INTEREST,"Tyler, The Creator",2020-01-25,127921,76,0.0861,0.596,0.34,11,0.575,0.000153,0.334,-8.325,0.0514,0,98.265,3
Pink + White,Blonde,Frank Ocean,2016-08-20,184516,78,0.67,0.544,0.554,9,0.552,4.57e-05,0.415,-7.45,0.0991,1,159.738,3
Mr. Rager,Man On The Moon II: The Legend Of Mr. Rager,Kid Cudi,2010-11-09,294226,75,0.389,0.671,0.581,7,0.726,0.882,0.14,-8.689,0.0272,1,102.002,4
