name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Something Good Can Work,Tourist History,Two Door Cinema Club,2010-02-17,164186,60,0.00583,0.648,0.64,0,0.833,0.000787,0.178,-5.321,0.0327,1,119.935,4
Sunlight,Sunlight,Yuno,2019-05-14,212160,0,9.52e-06,0.398,0.529,2,0.739,0.437,0.117,-6.763,0.0318,1,76.982,4
Hunnybee,Sex & Food,Unknown Mortal Orchestra,2018-04-06,268333,1,0.569,0.956,0.568,6,0.373,0.394,0.314,-7.963,0.0773,1,119.994,4
Weekend Friend,Weekend Friend,Goth Babe,2019-01-19,209454,66,0.032,0.409,0.212,1,0.594,0.0391,0.0904,-9.725,0.031,1,110.187,4
Rosalie (CH. II),Rosalie (CH. II),Lewis Del Mar,2020-06-18,257626,38,0.152,0.7,0.584,5,0.74,0.000633,0.213,-6.547,0.041,0,101.994,4
This Must Be The Place,Sure Sure,Sure Sure,2018-01-12,219260,63,0.349,0.886,0.928,5,0.371,0.00138,0.0985,-10.542,0.0465,1,115.026,4
Starting Again,Starting Again,Day Wave,2020-02-26,213863,15,0.208,0.561,0.615,8,0.803,0.323,0.179,-6.352,0.029,0,140.916,4
Origins,Young & Old,Tennis,2012-02-13,208139,49,0.0463,0.578,0.951,5,0.825,0.0201,0.162,-4.659,0.0284,0,113.907,4
Harmony Hall,This Life / Unbearably White,Vampire Weekend,2019-04-04,308413,0,0.475,0.653,0.6,11,0.76,0.000129,0.0998,-6.086,0.0479,1,98.008,4
Addicted to the Sunshine,Addicted to the Sunshine,Lime Cordiale,2020-01-31,270837,43,0.0501,0.671,0.909,0,0.622,2.95e-05,0.326,-9.551,0.0289,1,125.999,4
Elevate,When The Night (Deluxe),St. Lucia,2012,308360,53,0.00767,0.541,0.723,2,0.982,0.000809,0.291,-4.908,0.106,1,104.035,4
In Undertow,Antisocialites,Alvvays,2017-09-08,197186,48,0.000112,0.359,0.311,1,0.691,0.00167,0.101,-2.626,0.0438,1,116.888,4
Superposition,Mirror Master,Young the Giant,2018-10-12,230959,61,0.00289,0.593,0.428,7,0.697,0.0257,0.14,-5.416,0.0399,1,170.0,4
Lisztomania,Wolfgang Amadeus Phoenix,Phoenix,2009-05-25,241640,62,0.0339,0.486,0.315,0,0.784,0.00452,0.53,-6.68,0.0852,1,195.154,4
101,101,WALLA,2015-01-19,203500,46,0.0437,0.71,0.833,0,0.827,1.28e-05,0.0896,-5.244,0.032,1,110.003,4
Put a Light On,Heza,Generationals,2013,226933,57,0.056,0.688,0.481,1,0.771,0.000106,0.0561,-4.463,0.0291,1,100.01,4
Supercut,Melodrama,Lorde,2017-06-16,277506,69,0.219,0.562,0.15,0,0.437,2.18e-05,0.0806,-10.229,0.052,1,124.852,4
Thunder Clatter,Youth,Wild Cub,2014-01-21,271441,0,0.301,0.6,0.635,6,0.968,1.88e-06,0.19,-2.444,0.0329,1,123.019,4
I Want It All,I Want It All,COIN,2019-01-10,171773,0,0.0155,0.269,0.681,11,0.911,0.0179,0.0853,-4.503,0.245,1,169.396,3
Little Games - St. Lucia Remix,Inversions,The Colourist,2013-10-28,273400,45,0.00299,0.571,0.571,7,0.728,0.231,0.112,-8.901,0.104,0,110.54,4
This Life,This Life / Unbearably White,Vampire Weekend,2019-04-04,268600,0,0.228,0.62,0.83,9,0.712,3.39e-06,0.0561,-6.434,0.1,1,170.234,4
Carousel,Carousel,Skylar Spence,2018-08-22,251321,0,0.000519,0.731,0.734,1,0.745,0.00167,0.0679,-5.846,0.0293,1,115.011,4
Psychic City - Classixx Remix,Psychic City,YACHT,2010-05-20,251380,0,0.0378,0.894,0.827,2,0.569,9.88e-05,0.0636,-7.144,0.0406,1,110.005,4
