name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Flashback Magic,Flashback Magic,Zmeyev,2022-05-27,170294,0,0.844,0.838,0.601,0,0.307,0.928,0.0889,-12.66,0.0346,1,102.003,4
Supertele,Supertele,Undo.,2022-05-20,122033,4,0.64,0.729,0.156,7,0.245,0.915,0.112,-8.278,0.34,1,177.01,4
rain on us,Smoking Times,SanelliX,2022-05-06,147235,10,0.557,0.544,0.466,9,0.363,0.599,0.109,-9.847,0.11,0,84.298,4
Effortless,Effortless,Two Scents,2022-05-03,155604,38,0.923,0.739,0.376,7,0.345,0.815,0.113,-11.708,0.0811,0,91.046,4
future retro,future retro,stonefold,2022-04-29,121500,26,0.549,0.689,0.505,8,0.502,0.938,0.0823,-6.277,0.0617,1,79.956,4
at the creek,at the creek,fibra,2022-05-13,139000,15,0.618,0.572,0.197,11,0.501,0.819,0.346,-10.002,0.0549,0,119.766,4
Drassanes,Drassanes,Bastido,2022-05-27,100089,0,0.465,0.733,0.62,9,0.419,0.776,0.122,-10.146,0.0742,0,154.059,4
sonic colors,sonic colors,Faith Lofi,2022-05-27,120000,0,0.396,0.729,0.929,8,0.459,0.679,0.064,-8.074,0.17,1,79.834,4
Dove,Dove,eleven,2022-05-05,150799,30,0.83,0.471,0.0396,8,0.471,0.912,0.169,-10.738,0.0339,0,140.014,4
liminal spaces,liminal spaces,Boshi,2022-05-06,110344,38,0.94,0.542,0.331,4,0.271,0.936,0.165,-9.029,0.159,0,173.847,4
Junami,Junami,Hans Hu$tle,2022-05-06,137484,44,0.453,0.77,0.578,11,0.234,0.0747,0.1,-7.411,0.245,0,90.198,4
Mountain Views,Mountain Views,Mr. Käfer,2022-05-04,184440,44,0.861,0.687,0.311,2,0.32,0.841,0.0953,-12.219,0.159,1,86.01,4
Pinus,Ships II,Wun Two,2022-05-06,68579,41,0.0944,0.828,0.78,5,0.21,0.952,0.0994,-6.879,0.0659,1,84.214,4
Cashmere,Cashmere,c e c e l i e,2022-05-06,143095,43,0.842,0.631,0.186,4,0.495,0.858,0.117,-12.986,0.14,1,83.936,4
Jungle Farm,Jungle Farm,RWOK,2022-04-29,146992,34,0.797,0.743,0.251,5,0.359,0.937,0.112,-10.149,0.0835,0,82.021,4
Transcend,Transcend,9ICK,2022-05-02,166400,34,0.78,0.501,0.0888,3,0.252,0.905,0.0974,-15.807,0.0445,1,74.98,4
Menagerie,Menagerie,pantology,2022-05-12,195754,8,0.00464,0.638,0.387,5,0.564,0.781,0.309,-9.411,0.0305,0,92.032,4
Lofi Soup,Lofi Soup,Gas Lab,2022-05-19,146282,31,0.268,0.419,0.0579,6,0.573,0.00335,0.14,-12.217,0.0467,1,97.343,4
Bridges,Bridges,softy,2022-05-20,141187,42,0.882,0.535,0.0787,5,0.287,0.901,0.106,-9.992,0.0359,0,79.979,4
Beat Soup,Beat Soup,Beat Oven,2022-05-04,111374,38,0.402,0.727,0.949,3,0.295,0.887,0.0991,-10.21,0.077,0,80.008,4
Tbilisi Jam,Tbilisi Jam,DAISI,2022-05-13,125552,2,0.743,0.691,0.348,4,0.274,0.927,0.106,-17.18,0.0562,0,69.945,4
Rambla Sur,Rambla Sur,Los Bosques,2022-05-06,146933,19,0.76,0.743,0.438,6,0.441,0.905,0.314,-8.174,0.0494,0,90.033,4
