name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
The Xprt,The Xprt,Pete Rock,2022-02-17,263184,40,0.00404,0.734,0.64,1,0.845,0.0294,0.331,-4.937,0.0875,1,89.002,4
What Can I Say,For the Moment,SoulChef,2021-10-08,139666,49,0.118,0.672,0.97,5,0.809,0.885,0.364,-3.559,0.0275,0,90.075,4
Rooftop,College Music Presents: Back on Track,College Music,2021-10-22,146373,40,0.749,0.751,0.599,4,0.259,0.872,0.0989,-6.78,0.368,0,184.023,4
Road Of The Lonely Ones,Sound Ancestors,Madlib,2021-01-29,218466,51,0.425,0.641,0.123,2,0.314,0.41,0.116,-11.56,0.0375,1,95.969,4
The Stellar Ray Theory,Pray For Haiti,Mach-Hommy,2021-05-21,194652,51,0.8,0.582,0.693,6,0.72,0.0,0.238,-9.362,0.116,0,89.994,4
Chicago,Polo Beats,Cookin Soul,2018-08-14,105494,47,0.202,0.729,0.328,0,0.448,0.867,0.0693,-7.868,0.0413,1,91.021,4
Closing My Eyes,2 Whize,Alrahim Wright III,2019-05-18,118595,12,0.598,0.838,0.462,0,0.226,5.3e-05,0.114,-16.015,0.329,0,133.95,4
Lake Tahoe,Lake Tahoe,pucca,2021-08-27,122727,8,0.846,0.803,0.378,6,0.411,0.842,0.123,-13.088,0.0859,0,87.999,4
Bless U,Objets Trouvés (Deluxe),Twit One,2021-07-02,145000,39,0.215,0.73,0.343,11,0.326,0.403,0.321,-8.665,0.322,0,177.101,4
Crust,Yasuke,Flying Lotus,2021-04-30,133520,57,0.576,0.676,0.226,9,0.408,0.867,0.201,-7.937,0.0811,1,106.515,3
Reason,Reason,Maadrhino,2020-02-28,181498,42,0.369,0.711,0.167,1,0.225,0.019,0.102,-16.127,0.0965,1,176.098,3
Stay,Stay,YellowStraps,2021-08-06,131889,37,0.35,0.815,0.629,6,0.105,0.863,0.0967,-13.337,0.0628,1,105.083,4
Dream Factory,Breathing Exercises,Frankie Stew and Harvey Gunn,2020-02-28,267112,50,0.784,0.813,0.545,2,0.632,0.00159,0.095,-6.0,0.367,1,160.011,4
Trains,Move,byJ.,2021-06-30,164835,36,0.0712,0.766,0.439,8,0.713,0.877,0.283,-8.414,0.158,1,90.99,4
Dropout Boogie,Dropout Boogie,Your Old Droog,2021-06-09,189346,41,0.0646,0.643,0.888,1,0.838,0.0,0.388,-6.476,0.207,1,109.727,4
Head Scratcher,Voices in My Head,Freddie Joachim,2021-02-01,192166,38,0.0732,0.687,0.744,4,0.767,0.882,0.102,-7.789,0.138,0,179.935,4
Vague Margins,Jazz Dust,Funky DL,2021-04-30,132279,39,0.00505,0.787,0.761,9,0.769,0.84,0.131,-9.286,0.0475,0,89.012,4
Thanks Man,Thanks Man,Otis McDonald,2021-06-11,262736,35,0.569,0.891,0.587,7,0.491,0.745,0.133,-6.651,0.328,0,94.998,4
Tonight May Have To Last Me All My Life - MF DOOM Remix,Since I Left You (20th Anniversary Deluxe Edition),The Avalanches,2000-11-27,174426,40,0.887,0.443,0.308,6,0.476,5.84e-05,0.378,-9.297,0.162,0,163.111,4
Feel Involved in Love,Airplane Mode,Tall Black Guy,2021-02-27,152065,41,0.337,0.557,0.746,8,0.623,0.0355,0.192,-9.005,0.0964,1,83.889,4
Echo Park,Echo Park,Dontcry,2019-06-27,88571,41,0.0452,0.754,0.455,11,0.505,0.916,0.11,-9.091,0.15,0,84.062,4
Dreaming About Blue,Dreaming About Blue,Yestalgia,2020-05-11,164000,0,0.288,0.719,0.256,11,0.293,0.891,0.0618,-12.145,0.0945,0,80.237,4
Do Me That Favor,Do Me That Favor,Ol' Burger Beats,2020-05-01,172000,35,0.348,0.491,0.489,8,0.523,3.1e-06,0.176,-11.006,0.356,0,100.778,0
4AM,4AM,Faded Colors,2021-06-25,90352,35,0.718,0.722,0.172,11,0.266,0.807,0.0859,-15.173,0.0399,0,84.985,4
Miyogi,Miyogi,Drevm,2021-04-15,158240,37,0.765,0.63,0.245,9,0.469,0.916,0.4,-11.636,0.33,0,170.011,4
longwayhome,lo&behold,lojii,2020-02-07,148494,38,0.301,0.632,0.688,10,0.567,0.0,0.423,-10.129,0.395,0,72.84,4
Be on the Lookout,Be on the Lookout,Otis McDonald,2021-06-04,193516,35,0.00628,0.861,0.887,10,0.338,0.526,0.2,-7.756,0.222,0,91.007,4
Nova,Groot,Terilekst,2020-02-20,147454,33,0.00172,0.541,0.337,1,0.697,0.872,0.708,-8.26,0.0326,1,97.973,4
Hint of Blue,Hint of Blue,FakeHunters,2021-01-15,190227,35,0.417,0.708,0.719,9,0.495,0.86,0.144,-7.933,0.0686,0,88.007,4
Wes,A Landscape Onomatopeya,Felipe Gordon,2021-04-02,146484,39,0.701,0.834,0.374,5,0.451,0.907,0.105,-9.219,0.115,1,86.087,4
Simonal,Lost in Translation,K.A.A.N.,2020-04-24,227616,40,0.162,0.774,0.551,9,0.616,2.22e-05,0.607,-6.737,0.23,0,81.966,4
Suki,Suki,staedy,2021-06-18,131999,34,0.946,0.717,0.851,11,0.249,0.962,0.107,-8.973,0.0574,0,159.975,4
200 Pies (feat. 2 Chainz),La Maquina,Conway the Machine,2021-04-16,265384,55,0.701,0.598,0.504,2,0.431,1.48e-05,0.165,-12.261,0.358,1,74.093,4
Felt,Fruitless Grapevine,UD,2020-03-20,282064,40,0.394,0.644,0.225,2,0.408,0.0,0.0999,-8.812,0.378,1,77.534,4
Let's Ride,Let's Ride / Runnin',Soul Supreme,2021-06-04,241311,35,0.125,0.706,0.703,7,0.641,0.784,0.113,-8.519,0.0716,1,94.986,4
Lovejonez,Lovejonez,DJ Grumble,2021-04-02,171121,37,0.00302,0.822,0.847,8,0.359,0.827,0.172,-7.826,0.121,0,78.552,4
Tell Me Why I'm Waiting,Tell Me Why I'm Waiting,bearbare,2020-05-01,154285,45,0.548,0.545,0.0475,0,0.243,0.733,0.103,-13.349,0.0676,0,140.053,4
Dreamin´,EXPEDITion 100 Vol.6: Sunday Breezin',Sweet Medicine,2020-10-23,144000,34,0.92,0.777,0.223,3,0.228,0.927,0.115,-15.274,0.109,1,159.996,4
Money on Your Mind,Money on Your Mind,Lucian,2019-06-26,103058,42,0.455,0.793,0.461,0,0.441,0.213,0.101,-8.718,0.124,1,144.496,4
MAKE LOVE,MAKE LOVE,twuan,2020-02-21,118688,20,0.395,0.637,0.506,5,0.484,0.854,0.384,-10.514,0.0299,1,90.994,4
Kompass,Kompass,FloFilz,2020-11-11,131855,39,0.694,0.698,0.539,6,0.206,0.91,0.465,-12.051,0.187,1,87.959,4
Doobies,A Day in the Park,No Spirit,2020-10-21,143958,0,0.772,0.693,0.222,4,0.124,0.914,0.116,-11.262,0.0482,0,127.943,1
TV Dinners (feat. Boldy James & Sideshow),This Thing Of Ours,The Alchemist,2021-04-30,177373,48,0.665,0.552,0.538,11,0.585,0.0,0.192,-9.332,0.105,1,89.135,4
