name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Little Dark Age,Little Dark Age,MGMT,2018-02-09,299960,80,0.0102,0.705,0.62,6,0.712,0.000855,0.1,-6.156,0.0385,1,97.512,4
Suffer With Me,Suffer With Me,líue,2019-01-14,207936,69,0.00911,0.564,0.215,8,0.95,0.0686,0.589,-3.82,0.101,1,161.451,4
The Perfect Girl - The Motion Retrowave Remix,The Perfect Girl (The Motion Retrowave Remix),Mareux,2022-05-16,181016,53,0.000835,0.594,0.164,6,0.759,0.879,0.077,-7.883,0.0512,0,118.062,4
Dark Beach,Abyss,Pastel Ghost,2015-03-10,222000,71,0.284,0.534,0.153,7,0.919,0.591,0.092,-7.318,0.0355,1,130.03,4
Sweet Dreams (Are Made of This) - Remastered,Sweet Dreams (Are Made Of This),Eurythmics,1983-01-04,216933,79,0.225,0.692,0.875,0,0.711,0.0,0.12,-7.498,0.0317,0,125.135,4
Crimewave,Crystal Castles,Crystal Castles,2008-03-18,258453,65,0.184,0.746,0.888,4,0.691,0.0259,0.205,-7.533,0.0403,0,119.982,4
Genesis,Visions,Grimes,2012-02-21,255320,60,0.0764,0.611,0.233,10,0.677,0.0698,0.241,-6.745,0.034,0,166.04,4
DARE,Demon Days,Gorillaz,2005-05-23,244999,73,0.0229,0.76,0.966,11,0.891,0.0869,0.298,-5.852,0.0372,0,120.264,4
Blade Runner 2049,Blade Runner 2049,Synthwave Goose,2018-05-25,228019,53,0.896,0.573,0.0364,0,0.458,0.902,0.125,-16.739,0.0369,0,116.029,4
Positif,Lambs Anger,Mr. Oizo,2008-11-17,171120,49,0.000409,0.744,0.507,10,0.928,0.624,0.132,-5.628,0.0495,0,123.014,4
Disaster,Disaster,KSLV Noh,2021-06-21,84138,77,0.0158,0.824,0.511,0,0.613,0.348,0.159,-6.043,0.094,1,117.051,4
Opr,Conspiracy Pt.2,Gesaffelstein,2011-07-18,233965,55,0.00268,0.748,0.197,6,0.549,0.792,0.196,-5.447,0.065,0,101.033,4
Tesla,Prime,Corvad,2018-05-04,326869,52,0.000908,0.576,0.169,7,0.935,0.869,0.623,-6.092,0.0623,1,104.964,4
Nightcall,Nightcall,Kavinsky,2010,258413,70,0.00842,0.532,0.361,9,0.874,0.012,0.452,-5.183,0.0482,0,91.038,4
Ghost,Wlfgrl,Machine Girl,2014-02-17,185521,58,0.00576,0.705,0.378,11,0.924,0.927,0.36,-6.783,0.177,0,154.008,4
Stress,Justice,Justice,2007-06-11,298586,46,0.00297,0.518,0.279,10,0.932,0.881,0.268,-4.854,0.134,0,126.94,4
Game Over,Simulations,ALEX,2018-09-01,238802,45,0.00986,0.61,0.635,4,0.744,1.93e-06,0.186,-6.475,0.0392,0,144.987,4
Paris,Paris,Else,2016-04-19,209708,62,0.023,0.792,0.54,8,0.583,0.582,0.0809,-8.305,0.027,0,102.979,4
After Dark,Time,Mr.Kitty,2014-10-06,259146,82,0.0696,0.585,0.039,8,0.595,0.266,0.0837,-10.444,0.0328,1,140.037,4
ketamine,witchpop,siouxxie sixxsta,2021-09-24,125533,51,5.48e-05,0.682,0.936,10,0.764,0.649,0.0643,-5.534,0.05,0,141.213,4
Technologic,Human After All,Daft Punk,2005-03-14,284280,54,0.000369,0.812,0.633,9,0.516,1.09e-05,0.0991,-6.963,0.224,1,127.498,4
Haunted,Haunted,Laura Les,2021-03-12,102007,71,0.000654,0.51,0.547,9,0.817,0.0344,0.146,-8.666,0.0373,1,169.481,4
Volga,Volga,Cream Soda,2017-06-23,316107,43,0.137,0.694,0.282,7,0.825,0.00291,0.0987,-9.34,0.106,1,123.085,4
Polynomial-C,Xylem Tube EP,Aphex Twin,1992,286506,38,0.63,0.224,0.551,1,0.803,0.935,0.0926,-10.739,0.0553,1,72.287,4
"End of Line - From ""TRON: Legacy""/Score",TRON: Legacy,Daft Punk,2010-12-03,156480,45,0.000513,0.354,0.0397,9,0.449,0.778,0.344,-11.353,0.03,1,195.983,4
Genesis,Justice,Justice,2007-06-11,234960,57,0.0168,0.693,0.283,9,0.789,0.366,0.0985,-5.13,0.384,1,117.055,4
Shinigami Eyes,Shinigami Eyes,Grimes,2022-01-26,159315,68,0.00604,0.632,0.0768,9,0.691,0.00149,0.19,-5.226,0.0603,0,116.028,4
I Was Never There,"My Dear Melancholy,",The Weeknd,2018-03-30,241066,77,0.142,0.323,0.155,10,0.737,0.000162,0.163,-4.008,0.0338,1,113.26,4
Do You?,"V!BEZ, Vol. 3",TroyBoi,2019-07-26,195790,61,0.164,0.827,0.584,10,0.518,0.375,0.61,-8.156,0.343,0,80.729,4
Viol,Conspiracy Pt.2,Gesaffelstein,2011-07-18,343878,49,7.65e-05,0.597,0.201,7,0.84,0.828,0.55,-6.964,0.0377,1,108.993,4
Klymaxx,In Decay,Com Truise,2012-07-16,264000,40,0.16,0.723,0.27,10,0.512,0.63,0.0944,-10.977,0.0845,0,88.975,4
On the Run,Night Drive,Timecop1983,2018-05-04,300836,51,0.0693,0.435,0.552,1,0.638,0.907,0.17,-11.515,0.0343,1,89.992,4
Resonance,Odyssey,Home,2014-07-01,212881,67,0.0352,0.566,0.419,8,0.74,0.849,0.221,-8.614,0.063,1,170.098,5
Hypnocurrency,Hypnocurrency,Rezz,2021-04-23,292524,61,0.0319,0.528,0.0324,2,0.732,0.868,0.109,-9.492,0.0504,1,199.978,4
Deicide,Deicide,Crystal Castles,2015-07-10,294360,41,0.183,0.547,0.514,6,0.578,0.933,0.25,-10.679,0.0364,0,131.019,4
Tribulations,LCD Soundsystem,LCD Soundsystem,2005-01-24,299000,50,3.27e-05,0.694,0.896,6,0.773,0.883,0.0761,-5.61,0.0352,0,132.012,4
Drowning,Drowning,OXWAVE,2022-01-24,158821,30,0.0324,0.584,0.604,0,0.859,0.00395,0.0944,-3.391,0.0301,0,146.526,4
You Lose!,Mercurial World,Magdalena Bay,2021-10-08,204391,53,6.78e-05,0.628,0.164,9,0.909,0.372,0.923,-6.168,0.0423,0,120.01,4
The End,The End,Shlohmo,2019-03-22,275644,44,0.0479,0.668,0.0687,9,0.882,0.293,0.109,-2.578,0.0342,1,127.888,4
"Derezzed - From ""TRON: Legacy""/Score",TRON: Legacy,Daft Punk,2010-12-03,104120,53,0.00166,0.54,0.126,1,0.635,0.788,0.209,-10.071,0.0519,1,119.995,4
A New Error,Moderat,Moderat,2009-05-11,367306,60,0.0287,0.717,0.0961,11,0.46,0.785,0.0661,-11.326,0.0372,0,110.993,4
84' Dreamin,In Decay,Com Truise,2012-07-16,220000,38,0.206,0.56,0.238,6,0.573,2.41e-05,0.338,-8.682,0.286,0,148.6,1
Bulbform,TRST,TR/ST,2012-02-28,289320,40,0.00293,0.574,0.189,1,0.948,0.786,0.195,-6.059,0.0397,1,114.005,4
