name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
To You,Butterfly Blue,Mallrat,2022-05-13,188915,48,0.00915,0.442,0.312,2,0.567,0.000251,0.247,-7.059,0.0299,1,145.916,4
Dorothy,Songs of Her's,Her's,2017-05-12,246230,55,0.0383,0.518,0.912,1,0.899,0.903,0.106,-4.148,0.0384,0,145.04,4
Up and Away,Up and Away,Σtella,2022-04-20,191471,40,0.24,0.56,0.877,0,0.82,0.72,0.273,-3.005,0.0375,0,154.565,4
sixteen hours,sixteen hours,ABUNAI,2022-04-27,269921,40,0.508,0.573,0.156,7,0.376,0.633,0.0957,-13.768,0.0406,1,140.826,4
The Boat I Row,The Slow Rush B-Sides & Remixes,Tame Impala,2022-02-18,238320,64,0.311,0.503,0.24,7,0.728,0.005,0.293,-4.633,0.0295,0,151.962,4
Where the Water Clears the Illusion,Emotional Eternal,Melody's Echo Chamber,2022-04-29,183333,47,0.00666,0.497,0.416,6,0.673,0.285,0.328,-6.549,0.0317,1,108.009,4
Magenta Mountain,Magenta Mountain,King Gizzard & The Lizard Wizard,2022-03-29,364599,53,0.0317,0.666,0.434,1,0.657,0.819,0.0981,-8.726,0.0318,1,92.747,4
The Night Has Missed Me,From Heaven,Aprile,2022-04-22,229714,44,0.043,0.842,0.814,9,0.619,0.0182,0.0349,-9.691,0.0685,0,104.993,4
Where's My Brain???,EP2,The Lazy Eyes,2021-11-12,399882,37,0.0692,0.541,0.415,9,0.842,0.286,0.325,-6.718,0.0987,1,176.085,4
Lens,Lens,Grey Dugan,2022-05-13,254000,30,0.0369,0.611,0.451,1,0.714,0.000414,0.349,-6.916,0.0289,0,75.009,4
Already Know,Already Know,adam brian paul,2022-03-25,231506,39,0.586,0.61,0.604,7,0.503,0.824,0.155,-8.12,0.0273,0,139.888,4
2009,Aquarium Drunkard's Lagniappe Sessions,Orions Belte,2021-04-28,271349,43,0.0336,0.372,0.346,8,0.664,0.82,0.128,-7.525,0.0346,0,80.007,4
Like Yesterday,Flavour,Paul Cherry,2018-03-31,240407,45,0.859,0.71,0.671,3,0.416,0.0196,0.261,-12.381,0.0502,0,144.041,4
The Melting Of The Sun,The Melting Of The Sun,St. Vincent,2021-04-01,257519,39,0.609,0.52,0.469,10,0.463,0.0014,0.426,-10.429,0.0958,1,159.931,4
No Choice,No Choice,Tame Impala,2021-12-07,221826,33,0.00675,0.491,0.648,3,0.85,0.000985,0.118,-4.755,0.0987,1,180.027,4
Interior People,Butterfly 3000,King Gizzard & The Lizard Wizard,2021-06-11,315133,49,0.223,0.64,0.481,7,0.847,0.00274,0.459,-8.103,0.0415,1,156.015,3
Time (You and I),Time (You and I),Khruangbin,2020-04-27,342189,0,0.00945,0.751,0.926,11,0.491,0.149,0.0708,-13.677,0.045,1,105.408,4
Me Myself and Dollar Hell,Me Myself and Dollar Hell,Mild High Club,2021-07-27,180400,38,0.0409,0.693,0.443,8,0.611,0.761,0.0835,-7.222,0.0452,1,124.554,4
HALOHEAD,HALOHEAD,KUNZITE,2021-08-18,204880,38,0.0149,0.339,0.331,11,0.958,0.0144,0.763,-3.033,0.43,0,150.347,4
Reset,Reset,Colyer,2022-04-22,298586,37,0.677,0.629,0.576,3,0.594,0.0202,0.174,-8.412,0.0545,1,136.017,4
