name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Getting There,Until The Quiet Comes,Flying Lotus,2012-10-01,109353,39,0.149,0.18,0.1,1,0.719,0.00037,0.131,-5.789,0.0993,1,163.801,4
Massage Situation,Reset EP,Flying Lotus,2007-10-01,167173,45,0.0108,0.603,0.403,3,0.606,0.00157,0.108,-5.06,0.0688,0,93.06,4
Do The Astral Plane,Cosmogramma,Flying Lotus,2010-05-03,237920,44,0.0505,0.722,0.275,8,0.828,0.0,0.114,-3.227,0.19,0,117.693,4
Camel,Los Angeles,Flying Lotus,2008-07-09,142893,34,0.0132,0.699,0.584,0,0.926,0.2,0.311,-6.142,0.285,1,84.863,4
Putty Boy Strut,Until The Quiet Comes,Flying Lotus,2012-10-01,173687,32,0.103,0.723,0.711,1,0.432,0.218,0.0883,-7.891,0.418,1,163.973,4
Melt!,Los Angeles,Flying Lotus,2008-07-09,105413,28,0.000246,0.694,0.241,4,0.833,0.761,0.108,-6.036,0.184,0,192.11,4
Turtles,You're Dead!,Flying Lotus,2014-10-06,126688,34,0.233,0.479,0.238,11,0.79,0.402,0.12,-6.084,0.0375,0,146.055,4
Auntie's Lock/Infinitum,Los Angeles,Flying Lotus,2008-07-09,164626,29,0.934,0.393,0.0493,2,0.414,0.945,0.114,-17.81,0.0465,0,84.98,4
All The Secrets,Until The Quiet Comes,Flying Lotus,2012-10-01,116805,23,0.00198,0.748,0.743,4,0.274,0.818,0.116,-16.126,0.0841,0,145.767,3
Stonecutters,"The Music of Grand Theft Auto V, Vol. 1: Original Music",Various Artists,2013-09-24,258293,34,0.00932,0.765,0.424,6,0.598,0.864,0.16,-4.536,0.0776,0,123.999,4
Kill Your Co-Workers,Pattern+Grid World,Flying Lotus,2010-09-20,184226,28,0.0229,0.529,0.552,5,0.643,0.00057,0.0868,-5.33,0.274,0,169.04,4
RobertaFlack,Los Angeles,Flying Lotus,2008-07-09,187506,29,0.00253,0.391,0.472,7,0.863,0.0048,0.371,-5.482,0.551,1,81.014,4
Backpack Caviar,Echo Expansion,Various Artists,2009-08-18,200586,3,0.259,0.555,0.788,4,0.941,0.924,0.222,-5.327,0.225,0,100.738,4
