name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Goodie Bag,Goodie Bag,Still Woozy,2017-11-05,146390,0,0.82,0.701,0.577,7,0.529,0.00113,0.249,-12.242,0.147,0,138.216,4
Hell N Back,Hell N Back,Bakar,2019-08-15,213573,72,0.312,0.584,0.72,10,0.684,9.05e-05,0.112,-4.314,0.567,0,210.164,4
Pool House,When We Were Friends,The Backseat Lovers,2019-01-27,269411,67,0.0478,0.594,0.327,7,0.355,0.000109,0.0559,-11.184,0.0305,1,134.097,4
Weekend Friend,Weekend Friend,Goth Babe,2019-01-19,209454,66,0.032,0.409,0.212,1,0.594,0.0391,0.0904,-9.725,0.031,1,110.187,4
Lost,channel ORANGE (Explicit Version),Frank Ocean,2012-07-10,234093,52,0.0272,0.913,0.497,8,0.603,0.000503,0.167,-4.892,0.226,1,123.061,4
Small Worlds,Small Worlds,Mac Miller,2018-05-30,271733,54,0.814,0.516,0.515,5,0.546,4.5e-06,0.0995,-9.105,0.249,1,78.267,4
Stay High - Childish Gambino Version,Jaime (Reimagined),Brittany Howard,2021-07-23,218400,52,0.161,0.839,0.754,9,0.655,0.00026,0.153,-5.793,0.049,1,123.004,3
waves - Tame Impala Remix,Rogue Waves,Miguel,2016-02-26,253346,66,0.308,0.529,0.543,2,0.894,5.38e-06,0.254,-3.599,0.0412,1,108.024,4
HIT EM WHERE IT HURTS,HIT EM WHERE IT HURTS,PawPaw Rod,2020-09-18,165499,0,0.126,0.78,0.824,6,0.721,0.00235,0.078,-6.371,0.214,1,178.036,4
"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",Isolation,Kali Uchis,2018-04-06,207454,76,0.301,0.702,0.843,4,0.659,0.00201,0.218,-6.766,0.13,0,79.64,4
Stella Brown,Stella Brown,Jelani Aryeh,2020-04-03,187415,58,0.211,0.724,0.591,2,0.48,0.0772,0.289,-7.537,0.0342,1,125.007,4
I Wanna Help Your Mind,I Wanna Help Your Mind,Goth Babe,2021-03-10,171937,61,0.2,0.747,0.799,8,0.725,0.197,0.0688,-8.517,0.215,1,119.942,4
1st Time,1st Time,Bakar,2020-10-29,181746,59,0.0932,0.801,0.758,2,0.718,0.0331,0.186,-7.357,0.0421,1,122.994,4
