name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
The One,The One,M.I.A.,2022-05-26,145750,0,0.0373,0.765,0.66,1,0.795,5.91e-06,0.373,-6.278,0.0784,1,148.009,4
Another Sketch,Another Sketch,Lil Silva,2022-05-25,230730,26,0.323,0.519,0.112,8,0.465,0.00143,0.115,-10.892,0.0318,1,136.387,4
Silent Hill,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,220779,84,0.438,0.907,0.801,1,0.577,3.19e-05,0.137,-6.737,0.0767,0,140.07,4
Selfish Soul,Selfish Soul,Sudan Archives,2022-05-18,142666,49,0.0206,0.677,0.246,7,0.551,0.269,0.088,-7.963,0.0293,1,106.954,4
blessing me (with Pa Salieu & Skillibeng),blessing me (with Pa Salieu & Skillibeng),Mura Masa,2022-05-25,165507,28,0.376,0.576,0.797,8,0.66,0.0,0.0777,-6.022,0.421,0,200.087,4
Otro Atardecer,Un Verano Sin Ti,Bad Bunny,2022-05-06,244444,87,0.59,0.777,0.546,2,0.595,0.00139,0.0669,-6.79,0.0375,1,108.02,4
Dance For You,Dance For You,Empress Of,2022-05-25,201385,25,0.0382,0.669,0.354,11,0.929,0.0,0.113,-2.873,0.14,0,115.906,4
Protein,Protein,Jeshi,2022-04-13,175266,52,0.194,0.739,0.767,6,0.647,0.0025,0.36,-6.168,0.297,1,170.01,4
Where I’m From (feat. Mereba),HYPNOS,Ravyn Lenae,2022-05-20,224933,47,0.274,0.672,0.328,7,0.529,0.0086,0.171,-7.945,0.0597,1,95.329,4
The Sleeper,The Sleeper,Totally Enormous Extinct Dinosaurs,2022-05-25,231615,19,0.211,0.318,0.145,10,0.436,0.153,0.114,-7.832,0.029,1,73.877,4
D.M.B.,D.M.B.,A$AP Rocky,2022-05-05,291611,75,0.542,0.727,0.392,8,0.616,4.47e-06,0.482,-8.487,0.338,1,140.014,4
Human Sound,Human Sound,HAAi,2022-05-24,326146,17,0.0227,0.512,0.231,8,0.806,2.33e-06,0.172,-8.189,0.19,0,134.92,4
Highest Building (feat. Oklou),Palaces,Flume,2022-05-20,216818,66,0.414,0.414,0.51,8,0.68,8.13e-05,0.0948,-3.328,0.0454,1,74.203,4
A Moment Of Mystery (feat. Toro y Moi),A Moment Of Mystery (feat. Toro y Moi),FKJ,2022-05-19,205760,49,0.83,0.481,0.102,0,0.328,0.0566,0.115,-13.428,0.0337,1,113.547,4
Angel Of Business,Angel Of Business,Grace Ives,2022-05-18,206933,44,0.346,0.864,0.936,6,0.629,0.0252,0.103,-5.865,0.0726,1,141.999,4
Somebody Told Me,Somebody Told Me,Your Grandparents,2022-05-27,255094,0,0.0525,0.826,0.514,10,0.463,0.000452,0.188,-8.54,0.113,0,79.479,4
Looking at Your Pager,Looking at Your Pager,KH,2022-05-20,174417,56,0.236,0.708,0.742,11,0.872,0.0661,0.108,-6.719,0.0336,1,140.063,4
National Lottery,Universal Credit,Jeshi,2022-05-27,208666,0,0.831,0.563,0.482,9,0.458,5.35e-06,0.109,-10.554,0.366,1,94.116,4
Firefly,Firefly,Shygirl,2022-05-10,198625,60,0.0014,0.681,0.641,3,0.6,0.00162,0.114,-8.616,0.0397,1,140.981,4
Thinking Bout You,Thinking Bout You,rei brown,2022-05-27,190946,0,0.536,0.67,0.509,9,0.711,0.00149,0.242,-7.786,0.0563,1,163.998,4
Rich Spirit,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,202285,85,0.428,0.852,0.457,10,0.421,2.28e-06,0.106,-9.153,0.208,0,95.977,4
Please Do Not Lean (feat. BADBADNOTGOOD),Please Do Not Lean,Daniel Caesar,2022-04-22,240937,71,0.241,0.67,0.46,1,0.41,8.55e-06,0.167,-13.444,0.0381,1,127.972,4
BOMBAY,EL SUR,Girl Ultra,2022-04-29,186299,39,0.298,0.886,0.41,4,0.508,0.241,0.0872,-12.281,0.128,0,118.025,4
Boys In Movies,Boys In Movies,Liss,2022-05-18,224587,46,0.228,0.69,0.601,4,0.649,2.46e-06,0.0725,-7.07,0.0281,0,108.994,4
Xtasy,Xtasy,Ravyn Lenae,2022-05-17,178200,49,0.205,0.615,0.717,5,0.759,0.000226,0.101,-8.334,0.0823,1,107.05,4
Lullaby,Lullaby,Grace Ives,2022-04-06,186866,53,0.0245,0.791,0.876,8,0.791,3.72e-05,0.112,-3.639,0.0397,1,120.01,4
Father Time (feat. Sampha),Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,222497,85,0.181,0.514,0.517,10,0.779,0.0,0.099,-4.365,0.344,0,152.869,4
Ojitos Lindos,Un Verano Sin Ti,Bad Bunny,2022-05-06,258298,94,0.08,0.647,0.268,3,0.686,1.34e-06,0.528,-5.745,0.0413,0,79.928,4
Satisfaction,Satisfaction,SiR,2022-05-05,130981,63,0.66,0.685,0.371,7,0.577,2.69e-06,0.109,-4.655,0.108,0,110.326,4
Millennium,MAHAL,Toro y Moi,2022-04-29,181687,58,0.325,0.687,0.831,2,0.691,0.000153,0.12,-6.743,0.0378,1,98.055,4
WHEN SPARKS FLY,RAMONA PARK BROKE MY HEART,Vince Staples,2022-04-08,227873,63,0.00664,0.699,0.227,2,0.782,0.000517,0.182,-5.538,0.124,1,161.721,4
Web,Web,070 Shake,2022-05-04,126151,53,0.557,0.351,0.164,2,0.457,0.0,0.167,-7.456,0.0345,1,104.253,4
If Possible,Grotto,Wilma Vritra,2022-05-06,155784,39,0.808,0.449,0.621,1,0.486,1.17e-05,0.261,-8.771,0.0394,0,119.537,4
Jealousy,Jealousy,George Riley,2022-05-04,138630,41,0.317,0.803,0.383,0,0.428,0.156,0.106,-7.798,0.0664,1,144.011,4
Die Hard,ALPHA PLACE,Knucks,2022-05-06,197738,61,0.122,0.92,0.547,3,0.62,7.54e-05,0.276,-7.176,0.26,0,101.066,4
Where you are (feat. WILLOW),Where you are (feat. WILLOW),PinkPantheress,2022-04-22,153706,72,0.0965,0.689,0.362,0,0.872,0.000498,0.117,-4.786,0.0477,1,134.994,4
chem bath,chem bath,Hether,2022-04-29,230000,48,0.261,0.784,0.767,0,0.499,0.415,0.21,-12.798,0.0541,0,92.128,4
Rise Above,Rise Above,Ibeyi,2022-04-26,211173,42,0.0345,0.626,0.257,11,0.737,0.00647,0.276,-7.121,0.0765,0,158.125,4
Every Evening,Every Evening,Wilma Vritra,2022-04-27,181314,37,0.76,0.723,0.634,9,0.455,0.079,0.104,-10.457,0.0543,1,76.014,4
Skin and Bones,Skin and Bones,070 Shake,2022-04-22,214157,62,0.0439,0.613,0.334,0,0.633,0.0,0.0839,-6.494,0.0292,1,115.98,4
Patterns,Patterns,Nate Brazier,2022-04-07,159852,47,0.0107,0.806,0.432,1,0.767,0.00499,0.14,-5.746,0.0825,0,135.044,4
WAITING,NAUGHTY DOG,COUCOU CHLOE,2019-05-31,157000,43,0.388,0.915,0.318,11,0.454,0.15,0.108,-8.847,0.0988,1,136.926,4
SAVING GRACE,SAVING GRACE,Saya Gray,2022-04-12,172059,43,0.685,0.814,0.684,8,0.521,0.0209,0.0898,-11.177,0.165,0,128.922,4
One Way or Every N***a With a Budget,Few Good Things,Saba,2022-02-04,165186,52,0.125,0.833,0.668,11,0.627,0.0006,0.738,-9.345,0.0948,0,93.039,4
"OPEN A WINDOW (feat. Tyler, The Creator)","OPEN A WINDOW (feat. Tyler, The Creator)",Rex Orange County,2022-03-09,218586,64,0.282,0.541,0.548,2,0.607,0.0,0.193,-7.174,0.0482,1,79.974,4
LET’S DO IT AGAIN - Radio Edit,LET’S DO IT AGAIN,Jamie xx,2022-04-12,225494,64,0.242,0.66,0.302,2,0.837,0.876,0.0704,-7.415,0.0294,0,123.991,4
pg baby,learn 2 swim,redveil,2022-04-20,156800,57,0.0401,0.325,0.885,10,0.8,0.0,0.142,-8.719,0.486,0,80.628,4
LET IT RAIN,LET IT RAIN,Leven Kali,2022-04-01,221423,45,0.0042,0.709,0.0711,2,0.799,0.0566,0.0783,-6.799,0.0382,1,116.032,4
Human Shape,DREAM SOUP,Mindchatter,2022-04-08,206370,45,0.161,0.749,0.183,0,0.393,0.664,0.139,-11.272,0.205,1,179.955,4
words,words,piri,2022-04-22,189960,57,0.0599,0.725,0.678,6,0.957,0.00473,0.0869,-4.699,0.0502,0,134.026,4
double standard,double standard,Fousheé,2022-04-08,203606,50,0.0101,0.641,0.587,0,0.731,0.00271,0.356,-7.122,0.0828,1,161.689,4
The Question,The Question,Dirty Bird,2022-04-15,213230,40,0.209,0.668,0.86,6,0.634,0.749,0.136,-11.55,0.0664,0,130.06,4
Out Loud (feat. Kehlani),Broken Hearts Club,Syd,2022-04-08,203036,64,0.328,0.565,0.527,6,0.364,0.0,0.108,-9.512,0.2,1,155.705,3
Who Am I But Someone,Who Am I But Someone,Kate Bollinger,2022-03-08,162379,52,0.602,0.562,0.785,9,0.502,0.143,0.101,-8.223,0.0922,1,124.173,4
Hold On,LUZ,Axel Boman,2022-04-15,217104,44,0.283,0.668,0.488,2,0.609,0.583,0.18,-9.842,0.0374,1,120.043,4
Petrified,Ivory,Omar Apollo,2022-04-08,197453,58,0.313,0.343,0.343,2,0.331,1.7e-05,0.512,-9.528,0.035,1,203.852,4
LEMONADE,RAMONA PARK BROKE MY HEART,Vince Staples,2022-04-08,179674,65,0.272,0.79,0.574,10,0.576,0.0,0.0925,-6.991,0.0923,0,103.011,4
Bliss,Stardust,Yung Lean,2022-04-07,171425,64,0.0492,0.684,0.886,5,0.809,1.85e-05,0.129,-5.271,0.0409,0,126.66,4
