name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Catching Eyes,Catching Eyes,49th & Main,2020-04-24,249533,0,0.854,0.678,0.144,6,0.594,0.00264,0.133,-12.482,0.24,0,125.892,4
Sarita Colonia - Edit,Sarita Colonia,Sofia Kourtesis,2020-01-13,227317,38,0.0025,0.779,0.446,4,0.649,0.889,0.0989,-8.297,0.13,0,122.993,4
So Close Now,So Close Now,LEGATO,2021-07-16,217380,39,0.0638,0.873,0.726,5,0.911,0.648,0.0779,-9.781,0.0694,0,125.998,4
Alfa - Original Mix,Alfa EP,Crackazat,2021-01-22,285772,47,0.457,0.822,0.283,5,0.743,0.892,0.397,-8.211,0.104,0,123.987,4
Love If You Need It (feat. Fi McCluskey) - Mousse T.'s Classic Shizzle,Love If You Need It (feat. Fi McCluskey),Horse Meat Disco,2021-04-23,204823,42,0.0787,0.758,0.771,2,0.898,0.000168,0.145,-4.32,0.0527,1,121.986,4
Situation,Situation,Infinity Ink,2021-07-09,200000,32,0.00655,0.66,0.679,5,0.621,0.158,0.349,-9.935,0.0464,0,114.011,4
Lost In Space (feat. SG Lewis),Lost In Space (feat. SG Lewis),Folamour,2021-05-05,143946,40,0.0242,0.671,0.512,8,0.649,3.76e-06,0.0395,-6.869,0.379,0,120.632,4
Hard To Find - Girls of the Internet Remix - Short Edit,Hard To Find (Girls of the Internet Remix),Tender Games,2021-07-09,243779,34,0.00181,0.672,0.728,2,0.836,0.214,0.105,-8.106,0.0369,1,126.988,4
Tom's Bar,MOSS,Osunlade,2020-07-17,250430,38,0.0678,0.712,0.908,1,0.481,0.339,0.192,-15.734,0.0498,0,122.991,4
In My Soul,In My Soul,Demuja,2021-06-11,282580,35,0.00714,0.803,0.648,8,0.919,0.965,0.0662,-8.226,0.0721,0,124.011,4
The Best Rapper Alive,The Best Rapper Alive,Dj Streaks,2020-02-14,487619,51,0.256,0.66,0.157,7,0.712,0.949,0.508,-10.89,0.169,1,125.983,4
Domino,Domino,Demi Riquísimo,2021-07-16,271500,31,1.02e-05,0.746,0.249,6,0.97,0.925,0.092,-6.442,0.056,1,125.011,4
Music Saved My Life,Music Saved My Life,Dimitri From Paris,2021-03-26,224258,37,0.0584,0.705,0.714,5,0.861,7.32e-06,0.0691,-6.066,0.053,0,120.025,4
I Want You,I Want You,YNOT,2020-07-08,174985,33,0.00684,0.755,0.746,11,0.743,0.775,0.0964,-7.073,0.0377,1,121.987,4
You Ain't Love (feat. Teni Tinks),You Ain't Love (feat. Teni Tinks),The Shapeshifters,2021-04-02,271475,39,0.098,0.722,0.502,9,0.827,0.000264,0.0745,-5.648,0.0789,0,122.039,4
Motion,Motion,Karl Seery,2021-07-23,274226,0,0.0528,0.784,0.84,10,0.853,0.859,0.0493,-8.701,0.0991,0,134.995,4
Seventies,Seventies,Theo Kottis,2020-11-06,196035,42,0.00172,0.703,0.81,6,0.922,0.652,0.103,-6.633,0.0556,0,126.979,4
Nektar,Moon II,Iron Curtis,2020-06-15,198741,36,0.062,0.661,0.468,10,0.529,0.0204,0.362,-7.901,0.0978,0,118.971,4
Please - Single Edit,Please,Jessie Ware,2021-04-28,219933,52,0.0325,0.665,0.454,7,0.69,0.0147,0.116,-7.275,0.0369,1,120.032,4
The Sea,The Sea,Crazy Fluke,2021-07-09,194627,32,0.0144,0.791,0.0702,6,0.801,0.539,0.0955,-8.234,0.0747,1,120.999,4
Emotion,Emotion EP,Purple Disco Machine,2019-07-19,184918,42,0.0128,0.724,0.84,0,0.896,0.00737,0.0663,-6.485,0.0388,0,122.023,4
Isle of Taste - Patrice Scott Remix,Isle of Taste (Patrice Scott Remix),Session Victim,2020-05-01,374375,32,0.306,0.591,0.59,7,0.637,0.944,0.0789,-11.612,0.0485,0,108.99,4
Like this,How can I,박혜진 Park Hye Jin,2020-06-09,245804,0,0.164,0.704,0.18,2,0.542,0.909,0.0779,-11.167,0.0355,1,125.06,4
You've Got That Sound,You've Got That Sound,Dan Shake,2020-07-15,365548,31,0.00272,0.748,0.344,2,0.771,0.884,0.0613,-11.153,0.0441,1,111.995,4
Break My Heart / Cosmic Girl (Dimitri From Paris Edit) [Mixed],Club Future Nostalgia (DJ Mix),Dua Lipa,2020-08-28,180040,45,0.0697,0.696,0.81,2,0.885,0.0217,0.344,-7.279,0.0583,1,120.283,4
Bamboo Mask,Bamboo Mask,Boyoca,2021-07-09,223432,29,0.0105,0.773,0.769,11,0.927,0.885,0.182,-5.867,0.0352,0,122.017,4
Holding You,Holding You,Daniel Bortz,2020-08-21,308877,32,0.00545,0.766,0.11,4,0.669,0.724,0.11,-10.643,0.0634,0,125.019,4
Piano House,Piano House,Salary Boy,2020-08-17,337341,30,0.000268,0.642,0.707,8,0.932,0.0343,0.24,-8.508,0.0449,1,126.014,4
Street Swimming,Street Swimming,Adelphi Music Factory,2021-07-23,182307,29,0.00494,0.897,0.562,11,0.914,0.537,0.218,-2.345,0.403,0,130.007,4
"Jump Into The Light - 7"" Mix",Jump Into The Light,Horse Meat Disco,2020-07-17,216553,33,0.00125,0.835,0.888,6,0.828,0.0363,0.244,-4.507,0.0318,0,114.979,4
Lightenup - Alex Metric Remix,Lightenup (Alex Metric Remix),Parcels,2019-02-01,438717,42,0.00568,0.729,0.447,7,0.689,0.282,0.0694,-5.945,0.0396,1,123.018,4
Int'l Swayers Anthem - Radio Edit,Int'l Swayers Anthem,Big Miz,2019-04-26,240000,0,0.000102,0.597,0.723,2,0.912,0.906,0.0528,-9.082,0.0379,1,123.995,4
Patti,Patti,Tom Everett,2020-08-21,202142,36,0.000767,0.877,0.902,5,0.83,0.0013,0.217,-5.94,0.0776,0,125.988,4
