name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Synth City,Synth City,Martin Roth,2022-04-01,217525,47,0.284,0.722,0.735,8,0.533,0.85,0.102,-15.642,0.0362,1,108.008,3
Aether,Aether,Virtual Mage,2020-08-21,206000,49,4.49e-05,0.699,0.693,9,0.491,0.811,0.119,-10.454,0.0348,1,123.968,4
Try,Try / Dark Strings,JODA,2022-05-27,206284,0,0.00263,0.549,0.793,7,0.82,0.000269,0.236,-7.051,0.026,1,125.996,4
Lost in the Cloud,Lost in the Cloud,Waveshaper,2021-09-03,225000,40,0.042,0.542,0.374,3,0.859,0.625,0.0845,-7.212,0.0424,1,111.996,4
Metropolis,Metropolis,Massive Z,2022-04-01,290526,45,0.00183,0.486,0.221,2,0.954,0.695,0.223,-6.009,0.0365,0,95.007,4
Outlaw Star,Apotheosis,Eagle Eyed Tiger,2020-04-10,167203,42,0.00345,0.579,0.198,7,0.669,0.89,0.171,-8.953,0.0873,1,166.915,4
Neon Medusa - Edit,Neon Medusa,The Midnight,2021-03-03,253220,42,0.0801,0.692,0.079,10,0.787,0.0259,0.106,-6.641,0.0462,1,118.023,4
Hyperlandia - Vocal Mix,Hyperlandia,deadmau5,2021-10-29,349591,49,0.0267,0.574,0.162,2,0.957,0.242,0.298,-5.749,0.063,1,195.992,4
The Quiet Earth,Escape From Earth,Thomas Barrandon,2011-09-21,328839,0,0.000123,0.414,0.0551,6,0.836,0.868,0.106,-6.192,0.0379,1,95.486,4
CRT Days,CRT Days,Waveshaper,2020-03-10,231000,44,0.0996,0.483,0.512,10,0.946,0.865,0.246,-7.269,0.0379,0,94.996,4
Out of Luck - Instrumental,Out of Luck,TOKYO ROSE,2022-04-22,181565,42,0.000121,0.632,0.447,9,0.931,0.692,0.254,-2.508,0.0336,0,114.982,4
Delusive Bunker - Live Version,Delusive Bunker (Live Version),LudoWic,2021-01-01,371750,35,0.241,0.559,0.0215,10,0.79,0.835,0.114,-12.895,0.051,0,118.0,4
Terraform,New & Improved,TWRP,2021-11-25,308493,38,0.00125,0.575,0.0616,11,0.827,0.806,0.131,-7.425,0.0305,0,100.027,4
Odyssey,2020 AD,ALEX,2020-11-13,222222,38,0.216,0.613,0.293,6,0.995,0.77,0.21,-4.959,0.0466,0,107.971,4
Exorcism - Gunship Remix,Exorcism (Gunship Remix),Kat Von D,2021-10-15,219518,42,0.0515,0.507,0.421,4,0.952,1.35e-05,0.092,-6.002,0.0637,0,144.99,4
Less Than Zero - Waveshaper Remix,Less Than Zero (feat. King Protea) [Waveshaper Remix],Scandroid,2021-04-23,261566,38,0.0522,0.587,0.766,2,0.784,0.127,0.117,-5.92,0.041,0,99.99,4
Paradise Warfare,TRILOGY,Carpenter Brut,2015,254814,49,0.000432,0.324,0.274,2,0.943,0.905,0.319,-0.957,0.0747,1,162.047,4
Stasis,Stasis,Eagle Eyed Tiger,2020-07-10,234000,39,0.000979,0.671,0.448,8,0.792,0.941,0.0825,-7.375,0.0278,1,120.002,4
Streetwalker,Streetwalker,Nightstop,2017-03-10,267520,50,0.000407,0.518,0.0608,2,0.825,0.906,0.116,-10.748,0.0343,1,110.986,4
Lunar,Lunar,Hotel Pools,2020-11-13,275454,40,0.678,0.407,0.166,5,0.64,0.868,0.124,-11.484,0.0404,0,176.066,4
Aftershock,77,admo,2019-08-08,140968,42,0.00861,0.83,0.751,11,0.946,0.873,0.338,-4.987,0.213,0,102.983,4
Running Wild,Awakening,Robert Parker,2017-02-16,268000,0,0.00253,0.615,0.717,0,0.929,0.402,0.117,-5.719,0.0491,0,119.985,4
Light Curve,Light Curve,Krosia,2022-03-18,256842,39,0.019,0.913,0.664,0,0.56,0.877,0.09,-6.046,0.0524,0,113.993,4
Metrocenter 84,Metrocenter 84,Sunset Neon,2017-07-21,170000,38,0.00193,0.498,0.544,5,0.84,0.833,0.343,-5.169,0.131,1,191.96,4
Sorcery,Sorcery,The Toxic Avenger,2021-04-15,318918,41,0.0195,0.515,0.0868,5,0.862,0.0928,0.106,-7.708,0.0459,0,110.99,4
"Crystal Waves (From ""Wave Break"")","Crystal Waves (From ""Wave Break"")",Kalax,2021-02-26,280000,39,0.000123,0.481,0.0394,3,0.785,0.947,0.0965,-6.168,0.0351,0,119.948,4
When We Touch,When We Touch,Benny Smiles,2020-04-17,193628,37,0.209,0.669,0.502,9,0.637,0.79,0.108,-9.003,0.0333,1,94.951,3
Flashing Sirens,Flashing Sirens,Hotel Pools,2021-04-16,162666,39,6.7e-05,0.529,0.273,0,0.684,0.847,0.565,-6.892,0.0274,1,89.985,4
Orbit Love,Orbit Love,Virtual Mage,2021-03-05,251500,41,0.0107,0.716,0.316,6,0.453,0.788,0.0855,-11.707,0.0422,1,120.008,4
Crepuscule,Alpha,Fred Falke,2015-12-04,280240,0,0.13,0.649,0.847,5,0.829,0.643,0.398,-7.911,0.0455,0,112.834,4
Bad Night at Black's Beach,Bad Night At Black's Beach,L.A. Takedown,2017-04-13,170511,0,0.319,0.745,0.335,0,0.617,0.83,0.111,-9.847,0.0285,1,135.004,3
Droid Rage,195,OGRE Sound,2014-11-17,111111,48,0.0662,0.638,0.42,11,0.731,0.83,0.11,-7.125,0.0481,1,108.055,4
Strong - Instrumental,Strong,Tesla Boy,2014,320306,43,0.000651,0.872,0.833,4,0.659,0.866,0.178,-6.911,0.0371,0,123.307,4
Implant,Chrome,Makeup And Vanity Set,2017-02-06,257175,47,0.000828,0.679,0.202,1,0.924,0.826,0.0952,-8.469,0.0461,1,126.988,4
Futureland,Doomsday,Sonic Mayhem,2015-07-17,363706,44,0.000918,0.513,0.0379,10,0.56,0.823,0.126,-11.365,0.0358,0,85.017,4
Summer Is Over - Fury Weekend Remix,Summer Is Over (Fury Weekend Remix),Nouveau Arcade,2022-02-17,235514,34,0.00531,0.754,0.842,10,0.938,0.132,0.0988,-2.282,0.0984,0,125.007,4
Communication,Communication,Shook,2021-03-05,197209,0,0.0428,0.735,0.578,2,0.642,0.777,0.0866,-9.674,0.0483,1,158.006,4
Ocean Parkway,Then Again,Mitch Murder,2021-04-23,193267,34,0.0316,0.461,0.735,11,0.907,0.852,0.0761,-7.589,0.0587,1,195.039,3
Exclusive Coupé,Drift Stage Main Theme / Exclusive Coupé,Myrone,2015-11-17,234015,0,0.0103,0.539,0.65,6,0.903,0.0688,0.238,-5.975,0.0699,0,141.006,4
Drift,Drift,DEADLIFE,2020-10-23,307000,40,0.00317,0.627,0.0382,7,0.84,0.717,0.0849,-6.455,0.0532,0,123.972,4
Ultimo,Celeste,Barretso,2011-08-24,324049,38,0.000831,0.249,0.27,0,0.87,0.0025,0.24,-4.702,0.103,0,130.014,4
Luminance,So Fewer Particles Scatter,Miroir,2011-05-30,327289,39,4.36e-05,0.544,0.0703,9,0.862,0.908,0.46,-5.448,0.0354,0,126.053,4
Looking for Tracy Tzu,EP II,Carpenter Brut,2014-03-10,257614,0,0.000733,0.511,0.0864,9,0.884,0.803,0.106,-3.109,0.0913,0,109.088,4
Outlines,Outlines,Forhill,2020-03-27,206400,38,0.0361,0.695,0.111,4,0.809,0.901,0.1,-5.913,0.0395,1,99.981,4
Blood Magic,Corruptor,Daniel Deluxe,2016-04-08,214874,43,0.000151,0.582,0.0715,2,0.869,0.141,0.0917,-7.114,0.0322,1,105.001,4
Kintsugi,Metaversal,BT,2021-11-19,339333,35,0.113,0.597,0.208,0,0.863,0.798,0.147,-7.185,0.031,1,113.998,3
Lost Woods,Legend of Synthwave,Helynt,2020-04-17,158666,44,0.449,0.616,0.183,0,0.552,0.875,0.104,-7.042,0.0407,1,179.986,4
Hypnic,Dreamrider,Lazerhawk,2017-01-18,247146,0,0.000135,0.492,0.26,2,0.693,0.89,0.0804,-11.078,0.0319,1,109.958,4
After Hours Run,After Hours,Mitch Murder,2017-01-17,220714,42,4.06e-05,0.563,0.257,2,0.635,0.837,0.131,-9.248,0.0566,1,167.989,4
Fringe Society,District 970,Sami Matar,2017-11-09,222851,39,0.000748,0.504,0.0382,8,0.294,0.768,0.172,-9.847,0.0296,1,80.029,4
Pelée,"Fundamentals, Vol. III",Brothertiger,2021-07-09,316129,36,0.0176,0.442,0.111,2,0.839,0.892,0.0987,-7.192,0.0342,0,92.989,4
Distance,Distance,Hotel Pools,2020-04-10,207466,39,0.0152,0.537,0.196,1,0.692,0.0528,0.146,-10.299,0.0348,1,100.03,4
Night Train,Triads,Code Elektro,2017-09-29,257142,40,0.242,0.513,0.111,8,0.592,0.899,0.106,-11.586,0.0378,1,83.995,4
Test Pilot,Starcrash,Stilz,2017-01-12,244500,0,0.0132,0.576,0.39,2,0.789,0.915,0.101,-9.963,0.0493,1,200.0,4
Waves,Near Dark,Dance With the Dead,2014-08-23,270720,44,0.000107,0.622,0.506,7,0.89,0.876,0.649,-6.31,0.0316,0,124.996,4
Dangerous Dreams,Action & Romance,LeBrock,2016-09-08,242142,43,0.00445,0.531,0.413,9,0.91,5.03e-05,0.132,-3.802,0.0392,0,125.985,4
Shout - The Forgotten Remix,Shout (The Forgotten Remix),Scandroid,2022-04-20,221928,39,0.000508,0.466,0.4,8,0.933,4.12e-06,0.354,-4.005,0.186,1,104.977,4
Automaton,Parallel: S,1788-L,2021-04-02,231192,37,0.343,0.658,0.655,7,0.765,0.0785,0.412,-5.379,0.227,0,109.039,4
Drive-by Stalking,Drive-by Stalking,Nightstop,2013-11-09,320000,0,0.000528,0.246,0.157,7,0.873,0.95,0.154,-4.78,0.0419,0,124.016,4
Failed Star,Failed Star,PatternShift,2020-04-17,272173,28,0.0029,0.416,0.316,8,0.547,0.925,0.361,-7.913,0.0277,1,68.995,4
Sugar,Ride,Kit Grill,2020-11-06,196124,34,0.12,0.557,0.568,10,0.713,0.85,0.33,-10.848,0.0374,1,112.006,4
Years and Elements,Puzzlewood,Plone,2020-04-17,150289,36,0.593,0.557,0.383,0,0.411,0.663,0.113,-12.333,0.0296,1,170.321,4
The Equaliser (Not Alone),Endless Summer,The Midnight,2016-08-05,229014,0,0.0468,0.543,0.315,2,0.653,0.753,0.234,-7.223,0.0314,0,161.994,4
Montrose,Join Us,Le Matos,2013-05-16,339999,43,0.0075,0.708,0.453,7,0.8,0.841,0.106,-9.465,0.0578,1,125.994,4
Chauma,Chauma,pothOles,2013-08-12,290539,39,0.0129,0.609,0.767,11,0.844,0.801,0.367,-8.402,0.0352,1,99.994,4
Prime Operator,The Real Deal,Mitch Murder,2016-10-21,235650,0,0.000815,0.6,0.799,6,0.886,0.861,0.0525,-6.649,0.0296,0,138.001,4
Space Between Us,Space Between Us,VHS Collection,2021-11-10,239360,43,0.00838,0.579,0.3,7,0.791,0.00537,0.0817,-5.743,0.029,1,107.01,4
Oort,Oort,Downtown Binary,2020-07-19,253714,37,0.414,0.624,0.115,8,0.545,0.957,0.0813,-10.128,0.0627,1,104.992,4
Takeoff,Galaxy,Starcop,2017-01-01,159310,0,0.0118,0.648,0.675,4,0.467,0.957,0.38,-12.267,0.0355,0,115.987,4
Speedboat Night Sweat,Speedboat Night Sweat,Swimware,2016-12-09,231401,38,0.134,0.625,0.808,0,0.563,0.921,0.101,-7.865,0.0326,1,107.995,4
"Dark Prince, Pt. 3",Dark Prince,Atrey,2015-10-31,228028,40,0.000868,0.694,0.101,1,0.831,0.395,0.653,-7.963,0.0448,1,101.989,4
Shimmer Isle,Shimmer Isle,Shikimo,2020-03-13,240000,35,0.0481,0.471,0.44,3,0.72,0.936,0.324,-8.612,0.0298,1,100.007,4
Darkness,Darkness,Daniel Deluxe,2014-02-04,257490,47,0.0429,0.638,0.0664,2,0.637,0.752,0.11,-10.727,0.0332,1,95.989,4
Power Rush,Power Rush,A Space Love Adventure,2017-02-17,180152,41,0.0776,0.544,0.916,5,0.882,0.955,0.307,-7.267,0.0435,0,153.004,4
Shadow’s Movement - 16BL’s Universal Disco Mix,Temporarity (10th Anniversary Deluxe Edition),Michael Cassette,2020-12-16,258000,37,0.114,0.611,0.572,8,0.601,0.937,0.138,-10.516,0.0299,0,120.013,4
Rivage,Rivage,Krosia,2020-05-29,244744,40,0.309,0.324,0.117,10,0.539,0.934,0.117,-9.24,0.0612,0,98.054,4
Refusal Of The Return,Monomyth V - The Return,Russian Linesman,2020-09-04,452427,35,0.00795,0.701,0.281,5,0.469,0.694,0.291,-11.702,0.0328,1,120.024,3
The Night,The Night,Droid Bishop,2022-05-04,248964,31,0.152,0.651,0.751,7,0.737,0.605,0.0547,-7.37,0.0439,1,115.0,4
Visitors,Visitors,Idrissi,2016,374400,34,0.0326,0.467,0.0386,0,0.703,0.945,0.0895,-6.949,0.0365,0,99.985,4
Emerald,Emerald,System96,2020-03-20,181824,32,0.0124,0.816,0.431,9,0.51,0.835,0.134,-9.667,0.0496,0,120.0,4
Outrun This!,Pixel Passion,Arcade High,2013-06-24,249836,0,0.000161,0.395,0.255,9,0.816,0.836,0.391,-8.446,0.0391,0,122.022,3
Lightyears,Lightyears,A.L.I.S.O.N,2020-05-29,256800,0,0.75,0.693,0.186,4,0.565,0.893,0.12,-12.025,0.0424,0,99.997,4
Remoteness,Remoteness,Donbor,2022-03-25,344347,28,0.147,0.633,0.366,9,0.965,0.185,0.275,-5.196,0.0404,1,114.994,4
Arpyness,Arpyness,Tainsus,2020-10-11,151227,31,0.691,0.566,0.66,9,0.764,0.816,0.128,-7.078,0.0289,0,110.017,4
Light Years,Retrowave,Various Artists,2014-06-30,256406,0,0.0081,0.489,0.193,11,0.837,0.769,0.135,-6.881,0.0351,0,128.009,4
Crossing Over,Crossing Over,Gibarian,2021-10-08,303750,30,0.762,0.223,0.0961,8,0.685,0.984,0.102,-9.142,0.0438,1,160.08,4
Ganymede,Ganymede,The Alphabet Zero,2022-04-22,210000,23,0.0195,0.577,0.429,9,0.783,0.683,0.135,-6.479,0.0265,0,118.0,4
Anywhere,Anywhere,Jordan F,2020-04-17,215424,33,0.351,0.557,0.475,2,0.737,0.0755,0.103,-7.977,0.0359,1,102.014,4
Night City,Hologram,Vogel,2014-02-17,343140,41,0.0403,0.516,0.161,7,0.96,0.898,0.377,-5.702,0.0991,0,94.97,4
Blitz,Ornaments,Sferro,2015-12-12,267997,38,0.028,0.788,0.278,9,0.595,0.792,0.0847,-7.672,0.0594,0,114.975,4
White Crows,Parallel Lives,Meteor,2016-03-11,308210,38,0.00144,0.458,0.0846,9,0.813,0.668,0.119,-7.187,0.0316,0,95.009,4
Space Amplitude,Space Amplitude,IcoS,2020-03-13,168000,35,0.0991,0.617,0.341,9,0.834,0.873,0.107,-7.161,0.0308,0,115.025,4
Enigma,Solai,PYLOT,2019-03-21,198545,37,0.333,0.586,0.0369,0,0.46,0.122,0.0847,-14.702,0.0351,1,120.029,4
Atmosfer - Dr. Parnassus Remix,Mikrokozmos,Beyhude,2020-06-26,420000,37,0.644,0.765,0.044,0,0.464,0.84,0.105,-12.378,0.0506,0,106.999,4
Olympus,Olympus,3FORCE,2021-11-10,276000,31,0.000255,0.538,0.362,4,0.958,0.919,0.101,-2.44,0.0432,0,120.018,4
Odyssey Point,Odyssey Point,Lucy In Disguise,2020-05-06,257816,41,0.0083,0.584,0.0375,0,0.551,0.928,0.103,-8.938,0.03,1,99.99,4
Runaway,Real Thing,LeBrock,2018-02-14,232846,42,0.00499,0.506,0.382,8,0.871,9.15e-06,0.127,-4.091,0.0313,1,129.98,4
Just Drive,Just Drive,W O L F C L U B,2022-05-17,248000,33,0.0141,0.396,0.0644,1,0.871,0.271,0.103,-6.562,0.0695,0,119.979,4
The Trip,Trip EP,Eagles & Butterflies,2022-05-27,448640,0,0.00249,0.685,0.363,9,0.783,0.112,0.115,-5.345,0.0306,1,119.991,4
Horizon - Single Edit,Horizon,MicroMatscenes,2022-05-14,250086,12,0.01,0.653,0.391,10,0.705,0.0658,0.154,-6.47,0.0518,0,124.033,4
