name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Keep Screaming,Keep Screaming,Madd3e,2022-05-06,173333,22,0.0439,0.755,0.747,5,0.945,0.0311,0.136,-3.674,0.47,0,107.86,4
F With Me (feat. Chromeo),F With Me (feat. Chromeo),Destructo,2022-03-04,170613,37,0.0217,0.741,0.773,2,0.82,0.00279,0.209,-4.813,0.138,1,102.038,4
Power Station,Power Station,Cory Wong,2022-04-08,202613,42,0.103,0.775,0.902,0,0.875,0.0204,0.127,-4.757,0.0765,1,128.03,4
PULL UP (feat. Nile Rodgers),PULL UP (feat. Nile Rodgers),J. Rey Soul,2021-09-10,188040,41,0.371,0.932,0.677,7,0.764,0.0,0.119,-3.521,0.239,0,119.932,4
Baby - Short Version,Baby,Girls of the Internet,2022-04-01,187904,30,0.251,0.682,0.541,0,0.615,0.848,0.0864,-10.128,0.0395,1,123.998,4
Ray Phunk Show,Ray Phunk Show,Ivan Makvel,2022-02-05,212125,23,0.00876,0.987,0.942,7,0.532,3.42e-05,0.0852,-5.083,0.059,1,119.993,4
Not Into You,Not Into You,Brooksie,2021-07-11,157800,71,0.221,0.641,0.495,3,0.678,0.573,0.279,-4.943,0.0355,1,100.035,4
Breathe Deeper,Breathe Deeper,The Motet,2022-03-18,313179,31,0.0147,0.567,0.331,11,0.742,0.00448,0.158,-5.865,0.0289,0,92.881,4
Slow Down,Slow Down,Chromatiks,2021-03-12,205000,23,0.355,0.802,0.8,1,0.518,0.00265,0.0696,-9.085,0.0461,0,112.022,4
More Bounce to the Ounce,All the Greatest Hits,Zapp,1993-09-28,312506,48,0.112,0.856,0.839,5,0.762,0.00549,0.296,-10.445,0.0814,1,105.258,4
Treasure - Cover,Made in Street 2 (Live Covers),Neighbors Complain,2021-11-24,263894,19,0.26,0.74,0.849,9,0.665,0.0199,0.0911,-6.498,0.0622,0,111.917,4
BMBM,Night Cruisin',Kazzey,2021-07-07,186601,34,0.0457,0.813,0.741,6,0.695,0.149,0.108,-7.577,0.0669,1,115.066,4
All Yours,All Yours,Ben Maxwell,2021-05-14,203311,23,0.112,0.813,0.799,10,0.678,0.872,0.348,-9.963,0.102,1,111.001,4
Mamacita,Mamacita,Winfree,2021-06-01,194814,19,0.000619,0.718,0.523,10,0.666,4.07e-05,0.0707,-6.129,0.0547,0,126.099,4
Hey Girl,Hey Girl,Abekejser,2021-06-18,379695,0,0.0494,0.732,0.487,5,0.541,0.2,0.117,-10.434,0.0376,0,109.986,4
Get Down,Get Down,Freekbass,2021-05-25,155748,24,0.0612,0.935,0.842,10,0.718,0.00379,0.123,-6.623,0.106,1,119.988,4
Livin' It Up,The Striped Album,Cory Wong,2020-10-23,212800,26,0.228,0.759,0.922,9,0.672,1.92e-05,0.0809,-4.96,0.0669,1,90.0,4
Embrace The Grind,Embrace The Grind,Nine Sparks Riots,2021-01-15,274559,22,0.496,0.589,0.523,5,0.468,0.000256,0.263,-11.011,0.0757,1,111.878,4
Dance The Night Away,Dance The Night Away,Diamond Lounge,2021-01-08,194000,0,0.00194,0.768,0.779,2,0.693,0.483,0.0381,-5.598,0.06,1,99.999,4
Bonnie & Clyde,Bonnie & Clyde,Winfree,2021-03-01,281915,19,0.119,0.718,0.746,6,0.566,0.0,0.117,-7.588,0.188,0,96.914,4
