name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
OnlyL,OnlyL,TSHA,2021-06-14,227543,52,0.716,0.645,0.109,4,0.883,0.000259,0.106,-6.514,0.168,1,133.92,4
Out The Door,Out The Door,Hot Since 82,2022-04-22,186964,52,0.000254,0.643,0.662,6,0.887,0.394,0.0557,-10.206,0.0407,1,123.958,4
Walking On Water (feat. Totally Enormous Extinct Dinosaurs),Walking On Water (feat. Totally Enormous Extinct Dinosaurs),The Knocks,2022-01-14,216106,58,0.399,0.768,0.218,7,0.613,0.524,0.196,-7.098,0.133,0,124.956,4
Someday - salute Remix,Someday (salute Remix),DJ Seinfeld,2022-03-08,289411,47,0.0477,0.627,0.686,8,0.894,0.392,0.117,-8.923,0.12,0,135.996,4
If Life Could Be This Way,If Life Could Be This Way,Crazy P,2022-02-09,334842,45,0.394,0.731,0.641,0,0.692,0.13,0.0698,-7.021,0.0347,0,95.985,4
Certain People,Certain People / Big Jealous,Poison Zcora,2022-03-25,249160,37,0.337,0.644,0.658,1,0.734,0.918,0.103,-10.815,0.0413,1,126.013,4
Better Than Before,Better Than Before,Gabriel Gifford,2021-08-17,231352,41,0.0864,0.672,0.637,7,0.512,6.97e-05,0.229,-9.282,0.0765,1,100.003,4
Still Deciding,Fools Mate,Big Miz,2022-04-15,224648,41,0.284,0.717,0.501,9,0.795,0.00655,0.115,-6.245,0.0402,0,121.01,4
Dark Side,Dark Side,Thor Rixon,2020-10-30,245601,34,0.0453,0.726,0.771,6,0.664,0.423,0.125,-10.169,0.074,1,113.942,4
Passion Controller,Passion Controller,Khazali,2022-01-14,172219,47,0.0191,0.697,0.289,1,0.739,0.0256,0.214,-8.356,0.128,1,112.058,4
GO (Detroit Swindle Remix),GO (Detroit Swindle Remix),Hablot Brown,2020-09-09,279059,44,0.0331,0.735,0.594,7,0.56,5.17e-05,0.0498,-10.053,0.0397,0,104.994,4
Hummingbird,Hummingbird,Anish Kumar,2022-04-27,177786,44,0.00379,0.677,0.678,8,0.832,0.9,0.176,-7.606,0.035,0,129.029,4
Skylab District,Skylab District,Barry Can't Swim,2021-02-26,217768,39,0.0349,0.561,0.128,2,0.818,0.342,0.0635,-8.366,0.042,0,127.0,4
Resonate,The Journey,Folamour,2021-06-11,259146,40,0.00256,0.776,0.749,2,0.645,0.00203,0.0768,-5.892,0.0393,1,120.029,4
Keep Moving - Dave Lee Remix,Keep Moving (Dave Lee Remix),Jungle,2021-12-01,363492,43,0.00833,0.796,0.649,5,0.568,0.00416,0.0399,-7.539,0.0501,0,117.997,4
Little Girl,Little Girl,Rafau Etamski,2021-06-11,252493,45,0.0509,0.645,0.461,1,0.867,0.000237,0.11,-4.808,0.0827,1,87.809,4
Body,24,Kharfi,2021-02-17,179293,39,0.0101,0.578,0.327,8,0.873,6.99e-05,0.133,-5.782,0.374,1,126.011,4
