name,album,artist,release_date,length,popularity,acousticness,danceability,valence,key,energy,instrumentalness,liveness,loudness,speechiness,mode,tempo,time_signature
Perfect Dark,Midnight Sun,Orangelo,2021-09-23,134400,44,0.737,0.771,0.284,0,0.145,0.822,0.0809,-16.301,0.0484,0,150.035,4
helluva,helluva & hummingbird,Oscar Hollis,2021-09-15,159000,44,0.863,0.573,0.425,0,0.316,0.904,0.112,-22.426,0.246,1,160.162,4
Snowtime,Snowtime,Bamboozled Bumblebee,2022-01-07,123529,48,0.813,0.641,0.577,7,0.115,0.939,0.0745,-20.867,0.186,1,133.436,4
Friday Underground,Friday Underground,Lack Sho,2021-07-04,116741,48,0.888,0.599,0.348,4,0.318,0.862,0.607,-18.245,0.0491,0,150.002,4
When the Time Comes,When the Time Comes,Gordon,2018-10-09,124485,45,0.931,0.717,0.325,6,0.208,0.000901,0.228,-17.462,0.1,0,81.042,4
Come The Money,Come The Money,Chuck Morrison,2021-09-17,132972,43,0.867,0.7,0.133,0,0.124,0.918,0.105,-15.341,0.0867,1,73.969,4
Mikonos,Mikonos,Kid Kio,2022-04-08,140000,46,0.92,0.696,0.226,10,0.115,0.862,0.0954,-11.994,0.0606,1,77.991,4
hagaparken,hagaparken,jacob klev,2021-10-10,119253,42,0.967,0.802,0.251,0,0.223,0.952,0.105,-13.523,0.549,1,87.015,4
Evergreen Forest,Evergreen Forest,WOOLFSON,2021-08-26,130666,43,0.231,0.757,0.345,0,0.203,0.842,0.0975,-16.489,0.158,0,179.912,4
Bonsai Leaves,Pasture,Hz.,2021-09-23,137931,46,0.661,0.648,0.263,1,0.367,0.351,0.646,-10.126,0.0472,1,86.984,4
Reattachment,Give It Up,Avery Palm,2022-04-03,104823,41,0.473,0.701,0.505,9,0.307,0.877,0.11,-11.196,0.0976,1,84.981,4
Jazz Has Many Faces,Jazz Has Many Faces,Super Off-Beat,2021-08-21,120004,43,0.975,0.599,0.305,1,0.232,0.88,0.684,-16.6,0.0854,0,94.965,4
Happy Floating,Happy Floating,Bah Linn,2022-04-05,119917,45,0.236,0.841,0.481,10,0.483,0.771,0.0924,-10.515,0.0968,1,83.989,4
Mario Lopez,Mario Lopez,Ceelen,2022-04-05,115333,41,0.0299,0.527,0.208,9,0.311,0.635,0.246,-14.67,0.0643,1,74.94,4
roadtripp,roadtripp,chilliance,2021-08-21,141360,42,0.314,0.771,0.434,0,0.0752,0.146,0.104,-15.546,0.375,0,85.013,4
FORWARD,FORWARD,WASTELAND,2021-09-03,159069,42,0.97,0.503,0.165,6,0.234,0.947,0.111,-15.746,0.0334,1,85.951,4
Morning In The Forest,Morning In The Forest,Stainlexz,2021-08-26,132932,48,0.896,0.502,0.338,2,0.183,0.898,0.134,-17.506,0.0402,1,72.418,4
overcast,overcast,Sophia Lopez,2021-03-03,120000,46,0.837,0.611,0.122,6,0.0581,0.51,0.0944,-26.075,0.0441,0,74.0,4
Sunset Over Paris,Sunset Over Paris,Tall Roots,2021-08-08,148361,42,0.142,0.69,0.447,0,0.0778,0.163,0.113,-16.476,0.0717,1,83.079,4
Microwave Jam,Microwave Jam,C-90,2021-11-05,145226,44,0.667,0.626,0.235,2,0.542,0.757,0.171,-9.05,0.0386,0,81.02,4
koi pond,koi pond,clay house,2022-04-22,182000,39,0.867,0.758,0.1,4,0.478,0.601,0.435,-11.636,0.0317,1,112.016,4
